ID,Item,Caroline Staub,Jennifer Cisse,CJ Reconciled,LLM_r2,LLM_r2a
125897196,Assessment of socioeconomic and climate change-related factors to meeting recommended energy intake (REI) of filipino households,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125905118,Benefits and barriers to the adoption of climate-smart agriculture practices in West Africa: A systematic review,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Exclude
125903018,Blue Carbon Estimation and Total Factor Productivity Evolution in China's Marine Fisheries Industry,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894137,Change in climate extremes and pan evaporation influencing factors over Ouémé Delta in Bénin,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Exclude
125892527,Climate change impact of biochar cook stoves in western kenyan farm households: System dynamics model analysis,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894014,Climate change impact on agricultural sector of Nepal: Implications for adaptation and resilience building,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125900906,Climate change perception and local adaptation of natural resource management in a farming community of Cameroon: A case study,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125905579,"Climate change perceptions, impacts on the catches, and adaptation practices of the small-scale fishermen in Togo's coastal area",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125904245,Cost-Effective AI and IoT Based Smart System for Precision Water Management in Agriculture,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125906136,Determinants of minimal soil disturbance adoption over time and in the face of climate vulnerability,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125893595,"Developing a web-based service to support on-farm irrigation on hetao Irrigation District, China",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125904189,ECONOMIC DAMAGE ASSESSMENT OF FLOOD-AFFECTED AREAS IN MAHASARAKHAM PROVINCE OF THAILAND: ASSESSING THE ELEMENTS OF ECONOMIC DAMAGE VALUES,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125905743,Effect of water quality parameters and climatic influences on reproductive phenology of Macrognathus pancalus in wetland ecosystem: recommending a long-term management approach and conservation policy,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125904320,Enablers and barriers to adoption of sustainable silvopastoral practices for livestock production in Colombia,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125906384,Environmental Assessment For Mapping Land Degradation and Lands Changes Using Remotely Sensed Data with Geospatial Analysis,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125895069,Establishing High-Yielding Maize System for Sustainable Intensification in China,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125892574,Estimating the provision of ecosystem services by Gulf of Mexico coastal wetlands,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125901782,EVALUATING THE POTENTIAL FOR A NOVEL IRRIGATION SYSTEM CONTROLLER TO BE ADOPTED BY MEDIUM-SCALE CONTRACT FARMERS IN EAST AFRICA,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125906656,Evaluation of Farmers’ Strategies and Capacities in Adaptation to Climate Change and Water Scarcity in Agriculture of Iran,EXCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125901675,Exploring polyculture of small indigenous fishes with major carps in pens as a climate-resilient adaptation strategy for northeastern wetlands of India,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Include
125903312,Exploring social resilience among small-scale agroforestry farmers: A case study from a remote Indonesian village,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Include
125902375,Exploring the association between socio-economic and environmental factors and food consumption in Iran: insights from time series data,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125902935,"Factors affecting climate-smart agriculture development in Fars Province, Iran",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125889958,"Farm-level adoption of sorghum technologies in Tigray, Ethiopia",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125905561,Farmers' mitigation strategies against climate change indices in Aceh Besar Regency,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125903361,Forecasting summer marine heatwaves in the South China Sea using explainable machine learning models,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125898374,Genetic diversity of the rain tree (Albizia saman) in Colombian seasonally dry tropical forest for informing conservation and restoration interventions,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894281,Geographic information and communication technologies for supporting smallholder agriculture and climate resilience,EXCLUDE,INCLUDE,EXCLUDE,INCLUDE,Include
125902251,Global chocolate supply is limited by low pollination and high temperatures,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125900514,"How climate change and insecurity pushed 5 million people to hunger in Chad, Africa",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125898156,"Impact of selenium, zinc and their interaction on key enzymes, grain yield, selenium, zinc concentrations, and seedling vigor of biofortified rice",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125892127,Impacts of Jatropha-based biodiesel production on above and below-ground carbon stocks: A case study from Mozambique,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125897812,Improving Assessments of the Three Pillars of Climate Smart Agriculture: Current Achievements and Ideas for the Future,EXCLUDE,INCLUDE,EXCLUDE,EXCLUDE,Exclude
125890833,"Influence of livelihood resources on adaptive strategies to enhance climatic resilience of farm households in Morogoro, Tanzania: an indicator-based analysis",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125903937,Informal Financing Mechanisms Adopted by Female Small-Scale Fish Processors in the Face of Climate Change Impacts in Sri Lanka,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125891046,Integrating marine biodiversity through philippine local development plans,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125891067,Land suitability modeling of shea (Vitellaria paradoxa) distribution across sub-Saharan Africa,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125898494,Livelihood impacts and adaptation in fishing practices as a response to recent climatic changes in the upwelling region of the East African Coastal Current,EXCLUDE,INCLUDE,EXCLUDE,INCLUDE,Include
125904698,"Livelihood vulnerability household fishermen household due to climate change in Lampung Province, Indonesia",INCLUDE,INCLUDE,INCLUDE,EXCLUDE,Include
125898632,"Mitigating Striga hermonthica parasitism and damage in maize using soybean rotation, nitrogen application, and Striga-resistant varieties in the Nigerian savannas",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894391,Modelling the Great Australian Bight Ecosystem,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125890491,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125892919,Participatory plant breeding approach for host plant resistance to bean fly in common bean under semi-arid Kenya conditions,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125898868,Prevalence and predictors of chronic kidney disease of undetermined causes (CKDu) in Western Kenya’s “sugar belt”: a cross-sectional study,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125900300,Rainfall variability and changes in market gardening systems: a case study in Réo (mid-west region of Burkina Faso),INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125898239,Realizing the potential of coastal flood-prone areas for rice production in West Bengal: Prospects and challenges,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Exclude
125890529,Regime shifts and resilience in China’s coastal ecosystems,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125898069,Regional landscape futures to moderate projected climate change: a case study in the agro-pastoral transitional zone of North China,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125903831,"Remote Sensing Maize Water Stress in Smallholder Farms: A Systematic Review of Progress, Challenges, and the Way Forward Using Earth Observation Data",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125902469,Remote sensing technologies for monitoring coral reef health under climate change,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125896145,RESILIENCE THROUGH ADAPTATION: INNOVATIONS IN MAASAI LIVELIHOOD STRATEGIES: Jacques Pollini and John G. Galaty,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125906013,Restoring Soil Health of Degraded Lands Through Eco-Friendly Nutrient Management Practices in Regenerative Agriculture,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Include
125906823,Rethinking vulnerability and humanitarian assistance in the pastoral drylands: insights from northern Kenya and southern Ethiopia,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Include
125905971,Role of Gender in Sustainable Mitigation for Climate Change in Agriculture,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125895565,Rural household vulnerability to climate risk in Uganda,INCLUDE,INCLUDE,INCLUDE,EXCLUDE,Include
125892461,"Rural livelihoods and household adaptation to extreme flooding in the Okavango Delta, Botswana",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125900337,Sea-Level Rise and Estuaries,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125906724,"Seasonal climate variability, production inefficiencies, and non-linear farm revenue responses: an SFA-Ricardian assessment across KP’s agro-ecological zones, Pakistan",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Include
125890305,Seasonal drought predictability in Portugal using statistical–dynamical techniques,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125905892,"Self-governance mediates small-scale fishing strategies, vulnerability and adaptive response",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125903148,Shrimp Economies and Hydrosocial Lives in the Vietnamese Mekong Delta,EXCLUDE,INCLUDE,EXCLUDE,EXCLUDE,Exclude
125904954,Sidestepping the heat waves and cold snaps: how does extreme climate influence agricultural labor reallocation in China,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125903840,Smallholder coffee farmers’ perceptions of climate variability and the adoption intensity of climate-smart agriculture technologies in Uganda,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125891916,Smallholder farmers' perceptions of and adaptations to climate change in the Nigerian savanna,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125896474,Spatial-temporal changes of land degradation caused by natural and human induced factors: Case study of bulgan province in central mongolia,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125905643,Spatiotemporal variation of China’s mariculture potential under climate change,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125891407,Spatiotemporal variations in suitable areas for Japanese scallop aquaculture in the Dalian coastal area from 2003 to 2012,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125890985,Strengthening market linkages of farm households in developing countries,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125897705,"Subregional variation in cover and diversity of hard coral (Scleractinia) in the Western Province, Solomon Islands following an unprecedented global bleaching event",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125898625,Synergies and Trade-offs Between Climate Change and the Sustainable Development Goals in the Context of Marine Fisheries,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125891159,The impact of climate change on costs of food and people exposed to hunger at subnational scale,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125905315,The impact of household wealth on soil organic carbon and nitrogen stocks in enset (Ensete ventricosum (welw.) cheesman) based farming systems in southern Ethiopia,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894103,The political ecology of rice intensification in south India: Putting SRI in its places,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Include
125901044,THE POPULATION STRUCTURE ANALYSIS IN SUMBAWA BUFFALOES (Bubalus bubalis) OF INDONESIA,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125904466,"The role of fisheries sector in India’s Blue Economy: An integration of economic vitality, sustainability and future potential",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125900195,"Threats from weather events, urbanization and resilience: A case study of a coastal geography in India",INCLUDE,EXCLUDE,INCLUDE,INCLUDE,Include
125900829,"Understanding small-scale Fishers' perceptions on climate shocks and their impacts on local fisheries livelihoods: Insights from the Central Coast, Vietnam",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Include
125892259,Use of carbon isotope discrimination technique to sustain rice productivity under stressed and low land irrigated ecosystem of Pakistan,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894520,Using a social learning configuration to increase Vietnamese smallholder farmers’ adaptive capacity to respond to climate change,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125899353,"Viticulture in Argentina under extreme weather scenarios: Actual challenges, future perspectives",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125895697,"Vulnerability and Adaptation Strategies of Fishers to Climate Change: Effects on Livelihoods in Fishing Communities in Lagos State, Nigeria",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125892584,Vulnerability and adaptation to food insecurity and poverty in Kenya,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Include
125895310,"Wheat-based foods: Their global and regional importance in the food supply, nutrition, and health",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894223,Whole-genome sequencing of three native cattle breeds originating from the northernmost cattle farming regions,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
