dedupe_key,doi,scopus_id,title,year,pub,manually_retrieved
ty:bayfishtonlesapabayesianmodelofthefishproductioninthetonlesapgreatlakecambodia:2005,,80053114157,"BayFish - Tonle Sap: A Bayesian model of the fish production in the Tonle Sap Great Lake, Cambodia",2005,Modsim05 International Congress on Modelling and Simulation Advances and Applications for Management and Decision Making Proceedings,
ty:riverrehabilitationforconservationoffishbiodiversityinmoonsonalasia:2005,,31544469831,River rehabilitation for conservation of fish biodiversity in moonsonal Asia,2005,Ecology and Society,
doi:10.1659/0276-4741(2005)025[0304:msacvt]2.0.co;2,10.1659/0276-4741(2005)025[0304:msacvt]2.0.co;2,33847032389,"Market shocks and climate variability: The coffee crisis in Mexico, Guatimala and Honduras",2005,Mountain Research and Development,
ty:conversionoflandusetypesandecologicaleffectinnortheastchina:2005,,29244431649,Conversion of land use types and ecological effect in Northeast China,2005,Nongye Gongcheng Xuebao Transactions of the Chinese Society of Agricultural Engineering,
doi:10.1007/s10584-005-5384-7,10.1007/s10584-005-5384-7,26444440009,"Climate variability and land-use change in Danangou watershed, China - Examples of small-scale farmers' adaptation",2005,Climatic Change,
ty:eastbengalcycloneofnovember1970epidemiologicalapproachtodisasterassessment:2005,,21244501350,"East Bengal cyclone of November, 1970: Epidemiological approach to disaster assessment",2005,Epidemiologic Reviews,
ty:yieldgapestimationbycombiningremotesensingandcropgrowthmodel:2005,,23744444263,Yield gap estimation by combining remote sensing and crop growth model,2005,Nongye Gongcheng Xuebao Transactions of the Chinese Society of Agricultural Engineering,
ty:notsohighanddrypatternsofautonomousadjustmenttomajorfloodingeventsinbangladesh:2005,,21244441817,Not so high and dry: Patterns of 'autonomous adjustment' to major flooding events in Bangladesh,2005,Geography,
ty:astudyonthequantitydistributionofmacrojellyfishanditsrelationshiptoseawatertemperatureandsalinityintheeastchinasearegion:2005,,16244379889,A study on the quantity distribution of macro-jellyfish and its relationship to seawater temperature and salinity in the East China Sea Region,2005,Acta Ecologica Sinica,
doi:10.1002/ird.151,10.1002/ird.151,17144378294,Where indigenous water management practices overcome failures of structures: The Wadi Laba spate irrigation system in Eritrea,2005,Irrigation and Drainage,
ty:soilcarbonsequestrationindrylandfarmingsystems:2005,,85056946406,Soil carbon sequestration in dryland farming systems,2005,Climate Change and Global Food Security,
ty:theroleoflivestockinpovertyalleviationananalysisofcolombia:2005,,14344254056,The role of livestock in poverty alleviation: An analysis of Colombia,2005,Livestock Research for Rural Development,
ty:analysisontheanthropogenicdrivingforcesoflandusechangintypicalagropastoralecotoneofchina:2005,,84926469542,Analysis on the anthropogenic driving forces of land use chang in typical agro-pastoral ecotone of China,2005,4th International Conference on Environmental Informatics Iseis 2005,
doi:10.3167/082279405781826100,10.3167/082279405781826100,33846362667,"Integrated assessment of the dynamics, stability and resilience of the inner mongolian grazing ecosystems",2005,Nomadic Peoples,
doi:10.1142/9789813220737_0007,10.1142/9789813220737_0007,85059569732,Inclusiveness of information access in agriculture: Evidence from India,2016,Economies of China and India Cooperation and Conflict,
ty:copingwithclimatechangethestoryofthemaltosofjharkhand:2016,,85007397577,Coping with climate change the story of the maltos of Jharkhand,2016,Economic and Political Weekly,
doi:10.5194/esd-7-977-2016,10.5194/esd-7-977-2016,85007200813,Vulnerability to climate change and adaptation strategies of local communities in Malawi: Experiences of women fish-processing groups in the Lake Chilwa Basin,2016,Earth System Dynamics,
doi:10.30541/v55i4i-iipp.561-588,10.30541/v55i4i-iipp.561-588,85041660356,Impact of farm households' adaptations to climate change on food security: Evidence from different agro-ecologies of Pakistan,2016,Pakistan Development Review,
ty:farmersadaptionstrategiesintheclimatevulnerableagroclimaticzonesoftamilnaduindia:2016,,85015683639,"Farmers adaption strategies in the climate vulnerable agro-climatic zones of Tamil Nadu, India",2016,Indian Journal of Ecology,
doi:10.3390/cli4040063,10.3390/cli4040063,85028069091,"Climate change impact and adaptation practices in agriculture: A case study of Rautahat District, Nepal",2016,Climate,
doi:10.1017/s0376892916000138,10.1017/s0376892916000138,84978531528,Agroforestry in Bolivia: Opportunities and challenges in the context of food security and food sovereignty,2016,Environmental Conservation,
doi:10.1007/s11069-016-2551-2,10.1007/s11069-016-2551-2,84986331377,"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",2016,Natural Hazards,
ty:impactofconservationagricultureongrowthanddevelopmentofricewheatandmaizewheatcroppingsysteminwesternindogangeticplains:2016,,85011802441,Impact of conservation agriculture on growth and development of rice-wheat and maize-wheat cropping system in western Indo-Gangetic plains,2016,Annals of Biology,
ty:internationalsymposiumontechnologyandsocietyproceedings:2016,,85010379078,"International Symposium on Technology and Society, Proceedings",2016,International Symposium on Technology and Society Proceedings,
ty:alternatefurrowirrigationoffourfreshmarkettomatocultivarsundersemiaridconditionofethiopiapartiiphysiologicalresponse:2016,,85007044817,Alternate furrow irrigation of four fresh-market tomato cultivars under semi-arid condition of Ethiopia – Part II: Physiological response,2016,Journal of Agriculture and Rural Development in the Tropics and Subtropics,
ty:perceptiontoclimatechangeofdairyfarmersfrommantarovalleyjunn:2016,,84994257586,"Perception to climate change of dairy farmers from Mantaro Valley, Junín",2016,Livestock Research for Rural Development,
doi:10.1659/mrd-journal-d-16-00030.1,10.1659/mrd-journal-d-16-00030.1,85006001508,Farmers' Decision-making and Land Use Changes in Kyrgyz Agropastoral Systems,2016,Mountain Research and Development,
doi:10.1007/s11069-016-2468-9,10.1007/s11069-016-2468-9,84978664389,Cotton production under risk: a simultaneous adoption of risk coping tools,2016,Natural Hazards,
doi:10.21162/pakjas/16.5025,10.21162/pakjas/16.5025,84994559329,Evaluation of low cost irrigation methods for enhanced onion productivity under semi-arid climate of Pakistan,2016,Pakistan Journal of Agricultural Sciences,
doi:10.4018/978-1-5225-0942-4.ch02,10.4018/978-1-5225-0942-4.ch02,85016555089,Social and environmental impacts on agricultural development,2016,Agricultural Development and Food Security in Developing Nations,
doi:10.1007/s10584-016-1741-y,10.1007/s10584-016-1741-y,84978829368,Climate change discourse among Iranian farmers,2016,Climatic Change,
doi:10.1007/s10722-015-0310-y,10.1007/s10722-015-0310-y,84941365404,Climate variability and status of the production and diversity of sorghum (Sorghum bicolor (L.) Moench) in the arid zone of northwest Benin,2016,Genetic Resources and Crop Evolution,
ty:buildingclimateresilientagriculturethroughtraditionalfloatingriceinflashfloodaffectedareasofthenorthbankplainszoneofassam:2016,,84990180017,Building climate resilient agriculture through traditional floating rice in flash flood affected areas of the north bank plains zone of Assam,2016,Indian Journal of Traditional Knowledge,
ty:participatoryruralappraisalindrylandsaholisticapproachforgettinginsightintoanagroecosystemanalysis:2016,,85046887141,Participatory rural appraisal in drylands: A holistic approach for getting insight into an agro-ecosystem analysis,2016,Journal of Rural Development,
doi:10.4018/978-1-5225-0803-8.ch040,10.4018/978-1-5225-0803-8.ch040,85018304493,"Farming adaptations to the impacts of climate change and extreme events in Pacific Island countries: Case study of Bellona Atoll, Solomon Islands",2016,Natural Resources Management Concepts Methodologies Tools and Applications,
doi:10.4018/978-1-5225-0803-8.ch030,10.4018/978-1-5225-0803-8.ch030,85018285439,Adaptations to climate change and climate variability in the agriculture sector in Mauritius: Lessons from a technical needs assessment,2016,Natural Resources Management Concepts Methodologies Tools and Applications,
ty:droughtnatureslessonsinoverdriveinkrugernationalpark:2016,,84994246280,Drought - Nature's lessons in overdrive in Kruger National Park,2016,Water Wheel,
doi:10.3390/land5030021,10.3390/land5030021,85006082413,"Agriculture on the brink: Climate change, labor and smallholder farming in Botswana",2016,Land,
doi:10.1007/s11069-016-2360-7,10.1007/s11069-016-2360-7,84971009730,Farmer-level adaptation to climate change and agricultural drought: empirical evidences from the Barind region of Bangladesh,2016,Natural Hazards,
ty:acquisitionandmanagementofsomalicamelbreedforpastoralresiliencewithinperiurbanisioloandmarsabitcountiesofnorthernkenya:2016,,84984908584,Acquisition and management of Somali camel breed for pastoral resilience within Peri-urban Isiolo and Marsabit counties of Northern Kenya,2016,Livestock Research for Rural Development,
ty:farmersresponseandadaptationstrategiestoclimatechangeinlowhillsofhimachalpradeshinindia:2016,,84986267443,Farmers' response and adaptation strategies to climate change in low-hills of Himachal Pradesh in India,2016,Nature Environment and Pollution Technology,
doi:10.1016/j.cosust.2016.10.005,10.1016/j.cosust.2016.10.005,84995969870,Towards characterizing the adaptive capacity of farmer-managed irrigation systems: learnings from Nepal,2016,Current Opinion in Environmental Sustainability,
doi:10.1007/s10668-015-9690-6,10.1007/s10668-015-9690-6,84937604396,"Fishers’ perceptions of climate change, impacts on their livelihoods and adaptation strategies in environmental change hotspots: a case of Lake Wamala, Uganda",2016,Environment Development and Sustainability,
doi:10.1007/s11629-015-3499-5,10.1007/s11629-015-3499-5,84978877706,Empirical assessment of adaptation to climate change impacts of mountain households: development and application of an Adaptation Capability Index,2016,Journal of Mountain Science,
doi:10.1002/ldr.2376,10.1002/ldr.2376,84927153718,Conservation Effects on Soil Quality and Climate Change Adaptability of Ethiopian Watersheds,2016,Land Degradation and Development,
doi:10.1016/j.ijdrr.2016.04.013,10.1016/j.ijdrr.2016.04.013,84965124658,Strategies of smallholder farmers for coping with the impacts of cyclones: A case study from Madagascar,2016,International Journal of Disaster Risk Reduction,
doi:10.1007/s12571-016-0577-7,10.1007/s12571-016-0577-7,84978137347,Improved production systems for traditional food crops: the case of finger millet in western Kenya,2016,Food Security,
doi:10.1016/j.scitotenv.2016.02.162,10.1016/j.scitotenv.2016.02.162,84962712337,"Evaluating sustainable adaptation strategies for vulnerable mega-deltas using system dynamics modelling: Rice agriculture in the Mekong Delta's An Giang Province, Vietnam",2016,Science of the Total Environment,
doi:10.1080/21683565.2016.1159265,10.1080/21683565.2016.1159265,84974626055,Increasing livelihood through use of adapted crop varieties—case study from a semiarid region of East Kenya,2016,Agroecology and Sustainable Food Systems,
doi:10.1007/s11069-016-2260-x,10.1007/s11069-016-2260-x,84959099863,Adapting agriculture to the drought hazard in rural China: household strategies and determinants,2016,Natural Hazards,
doi:10.1016/j.eja.2016.03.004,10.1016/j.eja.2016.03.004,84962772088,Adapting maize production to drought in the Northeast Farming Region of China,2016,European Journal of Agronomy,
doi:10.13287/j.1001-9332.201607.039,10.13287/j.1001-9332.201607.039,84981347208,"Farmer's perception and adaptation intention for climate change in high-cold eco-fragile region: A case of Gannan Plateau, China",2016,Chinese Journal of Applied Ecology,
doi:10.1016/j.gloenvcha.2016.05.001,10.1016/j.gloenvcha.2016.05.001,84971597403,Linking development to climate adaptation: Leveraging generic and specific capacities to reduce vulnerability to drought in NE Brazil,2016,Global Environmental Change,
ty:climatechangeawarenessamongthelivestockrearersofeastcoastofindia:2016,,84978488703,Climate change awareness among the livestock rearers of east coast of India,2016,Indian Journal of Animal Sciences,
doi:10.1175/wcas-d-15-0040.1,10.1175/wcas-d-15-0040.1,85010715403,Analysis of index insurance potential for adaptation to hydroclimatic risks in the west African Sahel,2016,Weather Climate and Society,
ty:climatechangeawarenessandfarmleveladaptationoffarmerscentraldryzoneinmonywatownshipsagaingregionmyanmar:2016,,85029798312,"Climate change awareness and farm level adaptation of farmers (central dry zone) in monywa township, Sagaing Region, Myanmar",2016,Journal of Environmental Science and Management,
ty:climatechangeadaptationstrategiesofmaizeproducersofthecentralriftvalleyofethiopia:2016,,84973151747,Climate change adaptation strategies of maize producers of the Central Rift Valley of Ethiopia,2016,Journal of Agriculture and Rural Development in the Tropics and Subtropics,
doi:10.1007/s12571-016-0571-0,10.1007/s12571-016-0571-0,84966708291,What determines farmers’ adaptive capacity? Empirical evidence from Malawi,2016,Food Security,
ty:climatechangeadaptationstrategiesofsmallholderagroforestryfarmersinthephilippines:2016,,85029803533,Climate change adaptation strategies of smallholder agroforestry farmers in the Philippines,2016,Journal of Environmental Science and Management,
doi:10.1007/s12571-016-0569-7,10.1007/s12571-016-0569-7,84964342409,"Adaptation to climate change and the impacts on household food security among rural farmers in uMzinyathi District of Kwazulu-Natal, South Africa",2016,Food Security,
doi:10.1007/s10457-015-9874-y,10.1007/s10457-015-9874-y,84946761450,"Smallholder farmers’ perceptions of climate change and the roles of trees and agroforestry in climate risk adaptation: evidence from Bohol, Philippines",2016,Agroforestry Systems,
doi:10.1007/s10113-015-0880-4,10.1007/s10113-015-0880-4,84945546429,Learning about climate-related risks: decisions of Northern Thailand fish farmers in a role-playing simulation game,2016,Regional Environmental Change,
ty:evaluatingthepotentialofrainfallproductfromindiangeostationarysatelliteforoperationalagrometadvisoryservicesinindia:2016,,84978906379,Evaluating the potential of rainfall product from indian geostationary satellite for operational agromet advisory services in India,2016,Journal of Agrometeorology,
ty:overallgeneticdiversityofthericecultivarsinthecoastalbeltsofwestbengal:2016,,85012088634,Overall genetic diversity of the rice cultivars in the coastal belts of West Bengal,2016,Ecology Environment and Conservation,
ty:areviewofsimmondsiachinensisjojobathedesertgoldamultipurposeoilseedcropforindustrialuses:2016,,85031302173,A review of simmondsia chinensis (jojoba) “the desert gold”: A multipurpose oil seed crop for industrial uses,2016,Journal of Pharmaceutical Sciences and Research,
doi:10.1080/17565529.2015.1016884,10.1080/17565529.2015.1016884,84924675116,"Deconstructing vulnerability and adaptation in a coastal river basin ecosystem: a participatory analysis of flood risk in Nadi, Fiji Islands",2016,Climate and Development,
doi:10.1080/17565529.2015.1034232,10.1080/17565529.2015.1034232,84928816442,What drives the willingness to pay for crop insurance against extreme weather events (flood and drought) in Pakistan? A hypothetical market approach,2016,Climate and Development,
doi:10.1016/j.marpol.2016.01.004,10.1016/j.marpol.2016.01.004,84960798880,Economic impact of climate change and climate change adaptation strategies for fisheries sector in Solomon Islands: Implication for food security,2016,Marine Policy,
doi:10.1016/j.marpol.2015.12.023,10.1016/j.marpol.2015.12.023,84960807328,Economic impact of climate change and climate change adaptation strategies for fisheries sector in Fiji,2016,Marine Policy,
doi:10.1016/j.gloenvcha.2016.03.010,10.1016/j.gloenvcha.2016.03.010,84962845330,The influence of gender and product design on farmers' preferences for weather-indexed crop insurance,2016,Global Environmental Change,
doi:10.1007/s00267-016-0661-y,10.1007/s00267-016-0661-y,84955325389,"Farmers’ Perceptions of Climate Variability and Factors Influencing Adaptation: Evidence from Anhui and Jiangsu, China",2016,Environmental Management,
doi:10.1659/mrd-journal-d-15-00011.1,10.1659/mrd-journal-d-15-00011.1,84974605168,Transhumant Pastoralism in the Context of Socioeconomic and Climate Change in the Mountains of Nepal,2016,Mountain Research and Development,
ty:effectsofclimatechangeonhouseholdeconomyandadaptiveresponsesamongagriculturalhouseholdsineasterncoastofindia:2016,,84969622671,Effects of climate change on household economy and adaptive responses among agricultural households in eastern coast of India,2016,Current Science,
doi:10.1175/wcas-d-15-0019.1,10.1175/wcas-d-15-0019.1,84962304146,"Climate variability and rural livelihoods: How households perceive and adapt to climatic shocks in the Okavango Delta, Botswana",2016,Weather Climate and Society,
doi:10.1007/s12571-016-0554-1,10.1007/s12571-016-0554-1,84957932684,"An assessment by subsistence farmers of the risks to food security attributable to climate change in Makwanpur, Nepal",2016,Food Security,
doi:10.1007/s10668-015-9661-y,10.1007/s10668-015-9661-y,84961170660,Discovering and characterizing farm households’ resilience under water scarcity,2016,Environment Development and Sustainability,
ty:refocusingtheperceivedconceptionoffarmersregardingtheirlivelihoodunderthechangedclimatesituation:2016,,84991083712,Refocusing the perceived conception of farmers regarding their livelihood under the changed climate situation,2016,Ecology Environment and Conservation,
doi:10.18520/cs/v110/i7/1272-1281,10.18520/cs/v110/i7/1272-1281,84969716611,Climatic and non-climatic factors influencing changing agricultural practices across different rainfall regimes in South Asia,2016,Current Science,
doi:10.18520/cs/v110/i7/1251-1256,10.18520/cs/v110/i7/1251-1256,84969718617,Economic benefits of climate-smart agricultural practices to smallholder farmers in the Indo-Gangetic Plains of India,2016,Current Science,
