title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
Aquaculture and transport in a changing environment: Overlap and links in the spread of alien biota,2007-04-18,Marine Pollution Bulletin,10.1016/j.marpolbul.2006.11.017,2-s2.0-34047273788,34047273788,116,https://api.elsevier.com/content/abstract/scopus_id/34047273788
The Gulf of California: Review of ecosystem status and sustainability challenges,2007-04-01,Progress in Oceanography,10.1016/j.pocean.2007.01.013,2-s2.0-33947393636,33947393636,258,https://api.elsevier.com/content/abstract/scopus_id/33947393636
Coping with flood: Role of institutions in Bangladesh,2007-03-01,Agricultural Economics,10.1111/j.1574-0862.2007.00196.x,2-s2.0-33847055167,33847055167,54,https://api.elsevier.com/content/abstract/scopus_id/33847055167
"Environmental assessment after the 2004 tsunami: A case study, lessons and prospects",2007-03-01,Impact Assessment and Project Appraisal,10.3152/146155107X190622,2-s2.0-34247131351,34247131351,17,https://api.elsevier.com/content/abstract/scopus_id/34247131351
Development of an agricultural weather policy,2007-02-12,Agricultural and Forest Meteorology,10.1016/j.agrformet.2006.03.031,2-s2.0-33846455837,33846455837,17,https://api.elsevier.com/content/abstract/scopus_id/33846455837
Predicting the impacts of climate change on the evolutionary adaptations of polar fish,2007-01-01,Life in Extreme Environments,10.1007/978-1-4020-6285-8_24,2-s2.0-84919650274,84919650274,0,https://api.elsevier.com/content/abstract/scopus_id/84919650274
Saami reindeer pastoralism under climate change: Applying a generalized framework for vulnerability studies to a sub-arctic social-ecological system,2007-01-01,Global Environmental Change,10.1016/j.gloenvcha.2006.06.001,2-s2.0-34248598583,34248598583,195,https://api.elsevier.com/content/abstract/scopus_id/34248598583
"Individual resilience in rural people: a Queensland study, Australia.",2007-01-01,Rural and Remote Health,,2-s2.0-38449098127,38449098127,90,https://api.elsevier.com/content/abstract/scopus_id/38449098127
Back to the future: Millennium traits in native varieties,2007-01-01,Acta Horticulturae,10.17660/actahortic.2007.745.22,2-s2.0-70449428418,70449428418,1,https://api.elsevier.com/content/abstract/scopus_id/70449428418
Land degradation control in Northern Africa,2007-01-01,Environmental Science and Engineering,,2-s2.0-85108912763,85108912763,0,https://api.elsevier.com/content/abstract/scopus_id/85108912763
Land degradation control in Northern Africa,2007-01-01,Environmental Science and Engineering Subseries Environmental Science,10.1007/978-3-540-72438-4_21,2-s2.0-85028809213,85028809213,2,https://api.elsevier.com/content/abstract/scopus_id/85028809213
"Managing land use, protecting land and mitigating land degradation: Tanzania case study",2007-01-01,Environmental Science and Engineering Subseries Environmental Science,10.1007/978-3-540-72438-4_24,2-s2.0-85028861980,85028861980,2,https://api.elsevier.com/content/abstract/scopus_id/85028861980
"Managing land use, protecting land and mitigating land degradation: Tanzania case study",2007-01-01,Environmental Science and Engineering,,2-s2.0-85108907117,85108907117,0,https://api.elsevier.com/content/abstract/scopus_id/85108907117
"Marker-assisted selection to improve drought adaptation in maize: The backcross approach, perspectives, limitations, and alternatives",2007-01-01,Journal of Experimental Botany,10.1093/jxb/erl214,2-s2.0-33846796289,33846796289,281,https://api.elsevier.com/content/abstract/scopus_id/33846796289
"Adoption, profitability, impacts, and scaling up of agroforestry technologies in Southern African countries",2007-01-01,Ecological Basis of Agroforestry,,2-s2.0-85055919569,85055919569,1,https://api.elsevier.com/content/abstract/scopus_id/85055919569
Reducing the risk of fishery resource disasters: A bioeconomic approach to sustainable resource management,2006-12-01,Journal of the American Water Resources Association,10.1111/j.1752-1688.2006.tb06013.x,2-s2.0-33846483133,33846483133,2,https://api.elsevier.com/content/abstract/scopus_id/33846483133
Income diversification and poverty in the Northern Uplands of Vietnam,2006-12-01,Research Report of the International Food Policy Research Institute,10.2499/0896291480,2-s2.0-33947321950,33947321950,40,https://api.elsevier.com/content/abstract/scopus_id/33947321950
Are mangroves worth replanting? The direct economic benefits of a community-based reforestation project,2006-12-01,Environmental Conservation,10.1017/S0376892906003341,2-s2.0-33846920125,33846920125,114,https://api.elsevier.com/content/abstract/scopus_id/33846920125
Programs for Watershed-Plus phase for rainfed regions in India,2006-12-01,Proceedings of SPIE the International Society for Optical Engineering,10.1117/12.706495,2-s2.0-33846799074,33846799074,1,https://api.elsevier.com/content/abstract/scopus_id/33846799074
Sodicity-induced land degradation and its sustainable management: Problems and prospects,2006-11-01,Land Degradation and Development,10.1002/ldr.751,2-s2.0-33845569122,33845569122,229,https://api.elsevier.com/content/abstract/scopus_id/33845569122
Participatory evaluation of horsegram (Macrotyloma uniflorum) varieties and their on-station responses to on-farm seed priming in Eastern India,2006-10-01,Experimental Agriculture,10.1017/S0014479706003838,2-s2.0-33750318724,33750318724,16,https://api.elsevier.com/content/abstract/scopus_id/33750318724
Socio-economic reasons for the low adoption of water conservation technologies by smallholder farmers in southern Africa: A review of the literature,2006-10-01,Development Southern Africa,10.1080/03768350600927193,2-s2.0-33750439435,33750439435,21,https://api.elsevier.com/content/abstract/scopus_id/33750439435
"An assessment of sustainable maize production under different management and climate scenarios for smallholder agro-ecosystems in KwaZulu-Natal, South Africa",2006-09-27,Physics and Chemistry of the Earth,10.1016/j.pce.2006.08.012,2-s2.0-33748904568,33748904568,45,https://api.elsevier.com/content/abstract/scopus_id/33748904568
"Water productivity analysis for smallholder rainfed systems: A case study of Makanya catchment, Tanzania",2006-09-27,Physics and Chemistry of the Earth,10.1016/j.pce.2006.08.019,2-s2.0-33748887429,33748887429,23,https://api.elsevier.com/content/abstract/scopus_id/33748887429
Overcoming the impacts of aquaculture on the coastal zone,2006-09-14,Ocean and Coastal Management,10.1016/j.ocecoaman.2006.06.018,2-s2.0-33748462887,33748462887,431,https://api.elsevier.com/content/abstract/scopus_id/33748462887
Livestock health and socio-economic impacts of a veterinary intervention in Maasailand: Infection-and-treatment vaccine against East Coast fever,2006-09-01,Agricultural Systems,10.1016/j.agsy.2005.09.004,2-s2.0-33645216815,33645216815,70,https://api.elsevier.com/content/abstract/scopus_id/33645216815
Predicting the impacts of climate change on the evolutionary adaptations of polar fish,2006-08-01,Reviews in Environmental Science and Biotechnology,10.1007/s11157-006-9104-1,2-s2.0-33748697423,33748697423,12,https://api.elsevier.com/content/abstract/scopus_id/33748697423
"A review of Pacific salmon hatchery programmes on Hokkaido Island, Japan",2006-08-01,ICES Journal of Marine Science,10.1016/j.icesjms.2006.03.024,2-s2.0-33746321250,33746321250,67,https://api.elsevier.com/content/abstract/scopus_id/33746321250
Contribution of rainwater harvesting technologies to rural livelihoods in Zimbabwe: The case of Ngundu ward in Chivi District,2006-07-24,Water SA,,2-s2.0-33746102182,33746102182,40,https://api.elsevier.com/content/abstract/scopus_id/33746102182
Applicability of the flood-pulse concept in a temperate floodplain river ecosystem: Thermal and temporal components,2006-06-01,River Research and Applications,10.1002/rra.921,2-s2.0-33745592163,33745592163,66,https://api.elsevier.com/content/abstract/scopus_id/33745592163
Conceptualising the links between HIV/AIDS and pastoralist livelihoods,2006-06-01,European Journal of Development Research,10.1080/09578810600708247,2-s2.0-33746487439,33746487439,13,https://api.elsevier.com/content/abstract/scopus_id/33746487439
Living and responding to multiple stressors in South Africa-Glimpses from KwaZulu-Natal,2006-05-01,Global Environmental Change,10.1016/j.gloenvcha.2006.01.003,2-s2.0-33646502578,33646502578,186,https://api.elsevier.com/content/abstract/scopus_id/33646502578
Response of traditional and improved upland rice cultivars to N and P fertilizer in northern Laos,2006-04-30,Field Crops Research,10.1016/j.fcr.2005.07.003,2-s2.0-32644486636,32644486636,64,https://api.elsevier.com/content/abstract/scopus_id/32644486636
Livelihood diversification and land use change in the Sahel: An interdisciplinary analysis of gum arabic in Sudan,2006-04-27,Meddelanden Fran Lunds Universitets Geografiska Institutioner Avhandlingar,,2-s2.0-33645916387,33645916387,1,https://api.elsevier.com/content/abstract/scopus_id/33645916387
Applying innovations and new technologies for international collaborative wheat improvement,2006-04-01,Journal of Agricultural Science,10.1017/S0021859606005879,2-s2.0-33646502833,33646502833,68,https://api.elsevier.com/content/abstract/scopus_id/33646502833
Threatened fishes of the world: Hippocampus comes cantor 1850 (Syngnathidae),2006-03-01,Environmental Biology of Fishes,10.1007/s10641-005-0003-z,2-s2.0-33646510342,33646510342,7,https://api.elsevier.com/content/abstract/scopus_id/33646510342
Impacts of breeding on international collaborative wheat improvement,2006-02-01,Journal of Agricultural Science,10.1017/S0021859606005867,2-s2.0-33646257305,33646257305,139,https://api.elsevier.com/content/abstract/scopus_id/33646257305
Factors potentially affecting fertility of lactating dairy cow recipients,2006-01-07,Theriogenology,10.1016/j.theriogenology.2005.09.030,2-s2.0-28044462702,28044462702,60,https://api.elsevier.com/content/abstract/scopus_id/28044462702
Sustainable livelihood considerations for disaster risk management: Implications for implementation of the Government of Indonesia tsunami recovery plan,2006-01-01,Disaster Prevention and Management an International Journal,10.1108/09653560610654220,2-s2.0-33645020762,33645020762,51,https://api.elsevier.com/content/abstract/scopus_id/33645020762
Taking care of people and communities: Rebuilding livelihoods through NGOs and the informal economy in Southern Thailand,2006-01-01,Disaster Prevention and Management an International Journal,10.1108/09653560610654293,2-s2.0-33645017226,33645017226,26,https://api.elsevier.com/content/abstract/scopus_id/33645017226
"Post-harvest management strategies, drought vulnerability and food security",2006-01-01,Risk21 Coping with Risks Due to Natural Hazards in the 21st Century Proceedings of the Risk21 Workshop,10.1201/9780203963562.part3,2-s2.0-84857497301,84857497301,0,https://api.elsevier.com/content/abstract/scopus_id/84857497301
Tales from the margins: Small fishers in post-tsunami Thailand,2006-01-01,Disaster Prevention and Management an International Journal,10.1108/09653560610654284,2-s2.0-33645036261,33645036261,23,https://api.elsevier.com/content/abstract/scopus_id/33645036261
Tropical peatland water management modelling of the air hitam laut catchment in indonesia,2006-01-01,International Journal of River Basin Management,10.1080/15715124.2006.9635293,2-s2.0-85010622330,85010622330,32,https://api.elsevier.com/content/abstract/scopus_id/85010622330
Safety as a process: From risk perception to safety activity,2005-12-27,Doktorsavhandlingar Vid Chalmers Tekniska Hogskola,,2-s2.0-29144475316,29144475316,1,https://api.elsevier.com/content/abstract/scopus_id/29144475316
"Adaptive management of the Guadalupe River Watershed, San Jose, CA",2005-12-01,World Water Congress 2005 Impacts of Global Climate Change Proceedings of the 2005 World Water and Environmental Resources Congress,10.1061/40792(173)64,2-s2.0-37248999426,37248999426,0,https://api.elsevier.com/content/abstract/scopus_id/37248999426
Assessing the consequences of climate change for food and forest resources: A view from the IPCC,2005-12-01,Increasing Climate Variability and Change Reducing the Vulnerability of Agriculture and Forestry,10.1007/1-4020-4166-7_8,2-s2.0-84892354923,84892354923,24,https://api.elsevier.com/content/abstract/scopus_id/84892354923
The dynamics of vulnerability: Locating coping strategies in Kenya and Tanzania,2005-12-01,Geographical Journal,10.1111/j.1475-4959.2005.00174.x,2-s2.0-33745251069,33745251069,318,https://api.elsevier.com/content/abstract/scopus_id/33745251069
"Climate, communications, and innovative technologies: Potential impacts and sustainability of new radio and internet linkages in rural African communities",2005-12-01,Increasing Climate Variability and Change Reducing the Vulnerability of Agriculture and Forestry,10.1007/1-4020-4166-7_15,2-s2.0-84892199790,84892199790,2,https://api.elsevier.com/content/abstract/scopus_id/84892199790
"BayFish - Tonle Sap: A Bayesian model of the fish production in the Tonle Sap Great Lake, Cambodia",2005-12-01,Modsim05 International Congress on Modelling and Simulation Advances and Applications for Management and Decision Making Proceedings,,2-s2.0-80053114157,80053114157,1,https://api.elsevier.com/content/abstract/scopus_id/80053114157
"Multi-agent modelling of climate outlooks and food security on a community garden scheme in Limpopo, South Africa",2005-11-29,Philosophical Transactions of the Royal Society B Biological Sciences,10.1098/rstb.2005.1742,2-s2.0-33645743463,33645743463,97,https://api.elsevier.com/content/abstract/scopus_id/33645743463
"Weather patterns, food security and humanitarian response in sub-Saharan Africa",2005-11-29,Philosophical Transactions of the Royal Society B Biological Sciences,10.1098/rstb.2005.1746,2-s2.0-33645730029,33645730029,225,https://api.elsevier.com/content/abstract/scopus_id/33645730029
Hydro-economic evaluation of rainwater harvesting and management technologies: Farmers' investment options and risks in semi-arid Laikipia district of Kenya,2005-11-16,Physics and Chemistry of the Earth,10.1016/j.pce.2005.08.020,2-s2.0-27644538563,27644538563,66,https://api.elsevier.com/content/abstract/scopus_id/27644538563
"The World Commission on Dams: A fundamental step towards integrated water resources management and poverty reduction? A pilot case in the Lower Zambezi, Mozambique",2005-11-16,Physics and Chemistry of the Earth,10.1016/j.pce.2005.08.045,2-s2.0-27644591448,27644591448,27,https://api.elsevier.com/content/abstract/scopus_id/27644591448
"Institutional change, climate risk, and rural vulnerability: Cases from Central Mexico",2005-11-01,World Development,10.1016/j.worlddev.2005.06.005,2-s2.0-27644444226,27644444226,312,https://api.elsevier.com/content/abstract/scopus_id/27644444226
"Climate variability and land-use change in Danangou watershed, China - Examples of small-scale farmers' adaptation",2005-09-01,Climatic Change,10.1007/s10584-005-5384-7,2-s2.0-26444440009,26444440009,74,https://api.elsevier.com/content/abstract/scopus_id/26444440009
Population characteristics and assessment of overfishing for an exploited paddlefish population in the lower Tennessee River,2005-09-01,Transactions of the American Fisheries Society,10.1577/T04-161.1,2-s2.0-27144505129,27144505129,25,https://api.elsevier.com/content/abstract/scopus_id/27144505129
Rice growth and yield in waste-amended West African lowland soils,2005-08-11,Journal of Plant Nutrition,10.1081/PLN-200063240,2-s2.0-23044452833,23044452833,2,https://api.elsevier.com/content/abstract/scopus_id/23044452833
Who guidelines for safe wastewater use - More than just numbers,2005-07-01,Irrigation and Drainage,10.1002/ird.190,2-s2.0-33750633406,33750633406,40,https://api.elsevier.com/content/abstract/scopus_id/33750633406
"Fish and stream habitat risks from uncharacteristic wildfire: Observations from 17 years of fire-related disturbances on the Boise National Forest, Idaho",2005-06-06,Forest Ecology and Management,10.1016/j.foreco.2005.02.063,2-s2.0-19544371921,19544371921,69,https://api.elsevier.com/content/abstract/scopus_id/19544371921
Assessing the consequences of climate change for food and forest resources: A view from the IPCC,2005-05-01,Climatic Change,10.1007/s10584-005-5941-0,2-s2.0-21944444816,21944444816,87,https://api.elsevier.com/content/abstract/scopus_id/21944444816
Trade off between yield increase and yield stability in three decades of barley breeding in a tropical highland environment,2005-04-14,Field Crops Research,10.1016/j.fcr.2004.08.009,2-s2.0-13744250913,13744250913,36,https://api.elsevier.com/content/abstract/scopus_id/13744250913
"Seeking an expanded suite of management tools: Implications of rapidly-evolving adaptive response mechanisms (e.g., ""School-mix feedback"")",2005-03-01,Bulletin of Marine Science,,2-s2.0-17444391740,17444391740,15,https://api.elsevier.com/content/abstract/scopus_id/17444391740
Housing of breeding-ostriches in Germany and aspects of animal welfare,2005-03-01,Deutsche Tierarztliche Wochenschrift,,2-s2.0-17144392917,17144392917,2,https://api.elsevier.com/content/abstract/scopus_id/17144392917
An analysis of gender-water nexus in rural Bangladesh,2005-03-01,Journal of Developing Societies,10.1177/0169796X05054623,2-s2.0-20744434299,20744434299,25,https://api.elsevier.com/content/abstract/scopus_id/20744434299
"Valuing ecosystem functions: An empirical study on the storm protection function of Bhitarkanika mangrove ecosystem, India",2005-03-01,Environmental Conservation,10.1017/S0376892905001967,2-s2.0-22344454599,22344454599,253,https://api.elsevier.com/content/abstract/scopus_id/22344454599
Using commercial catch statistics to detect habitat bottlenecks in large lowland rivers,2005-02-01,River Research and Applications,10.1002/rra.844,2-s2.0-15544386489,15544386489,10,https://api.elsevier.com/content/abstract/scopus_id/15544386489
Rainfall variability in East Africa: Implications for natural resources management and livelihoods,2005-01-15,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rsta.2004.1475,2-s2.0-11244292443,11244292443,81,https://api.elsevier.com/content/abstract/scopus_id/11244292443
Soil carbon sequestration in dryland farming systems,2005-01-01,Climate Change and Global Food Security,,2-s2.0-85056946406,85056946406,0,https://api.elsevier.com/content/abstract/scopus_id/85056946406
Climate change impacts and adaptation on Philippine coasts,2005-01-01,Proceedings of Mts IEEE Oceans 2005,10.1109/OCEANS.2005.1640108,2-s2.0-33947185794,33947185794,9,https://api.elsevier.com/content/abstract/scopus_id/33947185794
Climate policy implications of the recent ENSO events in a small island context,2005-01-01,Climate Change and Africa,10.1017/CBO9780511535864.031,2-s2.0-84927114692,84927114692,6,https://api.elsevier.com/content/abstract/scopus_id/84927114692
"The approach to nature restoration project for the Shibetsu River. Ecol. Civil Eng. 7(2), 143-150, 2004",2005-01-01,Ecology and Civil Engineering,10.3825/ece.7.143,2-s2.0-35548949273,35548949273,6,https://api.elsevier.com/content/abstract/scopus_id/35548949273
Green-blue water system innovations for upgrading of smallholder farming systems - A policy framework for development,2005-01-01,Water Science and Technology,10.2166/wst.2005.0241,2-s2.0-21244431944,21244431944,4,https://api.elsevier.com/content/abstract/scopus_id/21244431944
Flood risk reduction by the use of retention areas at the elbe river,2005-01-01,International Journal of River Basin Management,10.1080/15715124.2005.9635242,2-s2.0-85009577029,85009577029,37,https://api.elsevier.com/content/abstract/scopus_id/85009577029
The role of livestock in poverty alleviation: An analysis of Colombia,2005-01-01,Livestock Research for Rural Development,,2-s2.0-14344254056,14344254056,17,https://api.elsevier.com/content/abstract/scopus_id/14344254056
Archeology and late quaternary environments of the southern high plains,2004-12-01,Prehistory of Texas,,2-s2.0-84899266365,84899266365,32,https://api.elsevier.com/content/abstract/scopus_id/84899266365
Drought hazard and desertification management in the drylands of Southern Africa,2004-12-01,Environmental Monitoring and Assessment,10.1007/s10661-004-4002-x,2-s2.0-14944343776,14944343776,26,https://api.elsevier.com/content/abstract/scopus_id/14944343776
Methods of consensus building for community-based fisheries management in Bangladesh and the Mekong Delta,2004-12-01,Agricultural Systems,10.1016/j.agsy.2004.07.007,2-s2.0-7044251989,7044251989,28,https://api.elsevier.com/content/abstract/scopus_id/7044251989
"Mathematical model investigation of the suitable countermeasure for the accretion problem at Rosetta estuary, Egypt",2004-12-01,Ocean 04 Mts IEEE Techno Ocean 04 Bridges Across the Oceans Conference Proceedings,,2-s2.0-19644380924,19644380924,3,https://api.elsevier.com/content/abstract/scopus_id/19644380924
A watershed approach to upgrade rainfed agriculture in water scarce regions through Water System Innovations: An integrated research initiative on water for food and rural livelihoods in balance with ecosystem functions,2004-10-21,Physics and Chemistry of the Earth,10.1016/j.pce.2004.09.016,2-s2.0-5144227547,5144227547,93,https://api.elsevier.com/content/abstract/scopus_id/5144227547
Sustainable water management in smallholder irrigation schemes: Understanding the impact of field water management on maize productivity on two irrigation schemes in Zimbabwe,2004-10-21,Physics and Chemistry of the Earth,10.1016/j.pce.2004.08.009,2-s2.0-5144225046,5144225046,14,https://api.elsevier.com/content/abstract/scopus_id/5144225046
Social resilience as a controlling influence on desertification in Senegal,2004-09-01,Land Degradation and Development,10.1002/ldr.628,2-s2.0-6044264819,6044264819,37,https://api.elsevier.com/content/abstract/scopus_id/6044264819
"Access to natural resources and conflicts between farmers and agro-pastoralists in Borkena Wetland, north-eastern Ethiopia",2004-09-01,Norsk Geografisk Tidsskrift,10.1080/00291950410002304,2-s2.0-5444273492,5444273492,6,https://api.elsevier.com/content/abstract/scopus_id/5444273492
Run off rainwater harvesting - The path to enhanced livelihoods,2004-09-01,Appropriate Technology,,2-s2.0-8144224576,8144224576,0,https://api.elsevier.com/content/abstract/scopus_id/8144224576
The fuelwood crisis in southern Africa - Relating fuelwood use to livelihoods in a rural village,2004-07-26,Geojournal,10.1023/B:GEJO.0000033597.34013.9f,2-s2.0-3142759378,3142759378,75,https://api.elsevier.com/content/abstract/scopus_id/3142759378
Ecosystem modeling adds value to a South African climate forecast,2004-06-01,Climatic Change,10.1023/B:CLIM.0000025750.09629.48,2-s2.0-3342966971,3342966971,25,https://api.elsevier.com/content/abstract/scopus_id/3342966971
How 'sustainable' is the 'sustainable development objective' of CDM in developing countries like India?,2004-06-01,Forest Policy and Economics,10.1016/j.forpol.2004.03.008,2-s2.0-2442491022,2442491022,40,https://api.elsevier.com/content/abstract/scopus_id/2442491022
Evaporative cooling for Holstein dairy cows under grazing conditions,2004-05-01,International Journal of Biometeorology,10.1007/s00484-003-0196-9,2-s2.0-3042629704,3042629704,43,https://api.elsevier.com/content/abstract/scopus_id/3042629704
"Extending federal crop insurance programs to commercial fisheries: The case of Bristol Bay, Alaska, sockeye salmon",2004-05-01,North American Journal of Fisheries Management,10.1577/M02-086.1,2-s2.0-2942683654,2942683654,20,https://api.elsevier.com/content/abstract/scopus_id/2942683654
Evaluating management options that use climate forecasts: Modelling livestock production systems in the semi-arid zone of South Africa,2004-04-19,Climate Research,10.3354/cr026033,2-s2.0-4344699040,4344699040,30,https://api.elsevier.com/content/abstract/scopus_id/4344699040
Earthquakes in El Salvador: A descriptive study of health concerns in a rural community and the clinical implications. Part III-mental health and psychosocial effects,2004-04-01,Disaster Management and Response,10.1016/j.dmr.2004.03.006,2-s2.0-2342579367,2342579367,22,https://api.elsevier.com/content/abstract/scopus_id/2342579367
Targeting seasonal climate forecasts for integration into household level decisions: The case of smallholder farmers in Lesotho,2004-03-01,Geographical Journal,10.1111/j.0016-7398.2004.05002.x,2-s2.0-1942437020,1942437020,98,https://api.elsevier.com/content/abstract/scopus_id/1942437020
Sequestration of carbon in soil organic matter in Senegal: An overview,2004-01-01,Journal of Arid Environments,10.1016/j.jaridenv.2004.04.002,2-s2.0-4344705508,4344705508,24,https://api.elsevier.com/content/abstract/scopus_id/4344705508
Sustaining livelihoods on Mongolia's pastoral commons: Insights from a participatory poverty assessment,2004-01-01,Development and Change,10.1111/j.1467-7660.2004.00345.x,2-s2.0-14644425588,14644425588,81,https://api.elsevier.com/content/abstract/scopus_id/14644425588
