citation_raw,record_key,title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
"Précoma-de la Mora M. (2021) 'Integrating Biophysical, Socio-Economic and Governance Principles Into Marine Reserve Design and Management in Mexico: From Theory to Practice'. Frontiers in Marine Science. https://doi.org/10.3389/fmars.2021.778980",10.3389/fmars.2021.778980,"Integrating Biophysical, Socio-Economic and Governance Principles Into Marine Reserve Design and Management in Mexico: From Theory to Practice",2021-12-14,Frontiers in Marine Science,10.3389/fmars.2021.778980,2-s2.0-85121877256,85121877256,16,https://api.elsevier.com/content/abstract/scopus_id/85121877256
Zhang Y. (2021) 'Climate Change is Likely to Alter Sheep and Goat Distributions in Mainland China'. Frontiers in Environmental Science. https://doi.org/10.3389/fenvs.2021.748734,10.3389/fenvs.2021.748734,Climate Change is Likely to Alter Sheep and Goat Distributions in Mainland China,2021-12-13,Frontiers in Environmental Science,10.3389/fenvs.2021.748734,2-s2.0-85121801630,85121801630,6,https://api.elsevier.com/content/abstract/scopus_id/85121801630
Januarti R.T. (2021) 'Socio-economic resilience of Pidie Jaya to against disaster in the terms of national security'. E3s Web of Conferences. https://doi.org/10.1051/e3sconf/202133102006,10.1051/e3sconf/202133102006,Socio-economic resilience of Pidie Jaya to against disaster in the terms of national security,2021-12-13,E3s Web of Conferences,10.1051/e3sconf/202133102006,2-s2.0-85146471374,85146471374,0,https://api.elsevier.com/content/abstract/scopus_id/85146471374
"Meza I. (2021) 'Drought risk for agricultural systems in South Africa: Drivers, spatial patterns, and implications for drought risk management'. Science of the Total Environment. https://doi.org/10.1016/j.scitotenv.2021.149505",10.1016/j.scitotenv.2021.149505,"Drought risk for agricultural systems in South Africa: Drivers, spatial patterns, and implications for drought risk management",2021-12-10,Science of the Total Environment,10.1016/j.scitotenv.2021.149505,2-s2.0-85112489161,85112489161,105,https://api.elsevier.com/content/abstract/scopus_id/85112489161
Carelsen C.P.R. (2021) 'Classification and characterisation of smallholder farmers in South Africa: a brief review'. South African Journal of Agricultural Extension. https://doi.org/10.17159/2413-3221/2021/v49n2a12821,10.17159/2413-3221/2021/v49n2a12821,Classification and characterisation of smallholder farmers in South Africa: a brief review,2021-12-09,South African Journal of Agricultural Extension,10.17159/2413-3221/2021/v49n2a12821,2-s2.0-85142421522,85142421522,16,https://api.elsevier.com/content/abstract/scopus_id/85142421522
Hellin J. (2021) 'Reflections on Enhancing the Impact of Climate Risk Management Through Transformative Adaptation'. Frontiers in Climate. https://doi.org/10.3389/fclim.2021.751691,10.3389/fclim.2021.751691,Reflections on Enhancing the Impact of Climate Risk Management Through Transformative Adaptation,2021-12-08,Frontiers in Climate,10.3389/fclim.2021.751691,2-s2.0-85123767679,85123767679,6,https://api.elsevier.com/content/abstract/scopus_id/85123767679
Atube F. (2021) 'Determinants of smallholder farmers’ adaptation strategies to the effects of climate change: Evidence from northern Uganda'. Agriculture and Food Security. https://doi.org/10.1186/s40066-020-00279-1,10.1186/s40066-020-00279-1,Determinants of smallholder farmers’ adaptation strategies to the effects of climate change: Evidence from northern Uganda,2021-12-01,Agriculture and Food Security,10.1186/s40066-020-00279-1,2-s2.0-85101253461,85101253461,155,https://api.elsevier.com/content/abstract/scopus_id/85101253461
Lamichhane P. (2021) 'Survey data on climate change adaptation and barriers to adoption among smallholder farmers in Nepal'. Data in Brief. https://doi.org/10.1016/j.dib.2021.107620,10.1016/j.dib.2021.107620,Survey data on climate change adaptation and barriers to adoption among smallholder farmers in Nepal,2021-12-01,Data in Brief,10.1016/j.dib.2021.107620,2-s2.0-85119904614,85119904614,4,https://api.elsevier.com/content/abstract/scopus_id/85119904614
"Asare-Nuamah P. (2021) 'Farmers’ maladaptation: Eroding sustainable development, rebounding and shifting vulnerability in smallholder agriculture system'. Environmental Development. https://doi.org/10.1016/j.envdev.2021.100680",10.1016/j.envdev.2021.100680,"Farmers’ maladaptation: Eroding sustainable development, rebounding and shifting vulnerability in smallholder agriculture system",2021-12-01,Environmental Development,10.1016/j.envdev.2021.100680,2-s2.0-85119154292,85119154292,36,https://api.elsevier.com/content/abstract/scopus_id/85119154292
Islam M.M. (2021) 'Stepping Up versus Stepping Out: On the outcomes and drivers of two alternative climate change adaptation strategies of smallholders'. World Development. https://doi.org/10.1016/j.worlddev.2021.105671,10.1016/j.worlddev.2021.105671,Stepping Up versus Stepping Out: On the outcomes and drivers of two alternative climate change adaptation strategies of smallholders,2021-12-01,World Development,10.1016/j.worlddev.2021.105671,2-s2.0-85113790874,85113790874,16,https://api.elsevier.com/content/abstract/scopus_id/85113790874
Ikuemonisan E.S. (2021) 'Economic implications of smallholders’ collaborative groupings on household income and adaptability to climate change in Nigeria'. Sustainability Switzerland. https://doi.org/10.3390/su132413668,10.3390/su132413668,Economic implications of smallholders’ collaborative groupings on household income and adaptability to climate change in Nigeria,2021-12-01,Sustainability Switzerland,10.3390/su132413668,2-s2.0-85120974774,85120974774,6,https://api.elsevier.com/content/abstract/scopus_id/85120974774
Nguyen-Anh T. (2021) 'Changes in the environment from perspectives of small-scale farmers in remote Vietnam'. Regional Environmental Change. https://doi.org/10.1007/s10113-021-01835-6,10.1007/s10113-021-01835-6,Changes in the environment from perspectives of small-scale farmers in remote Vietnam,2021-12-01,Regional Environmental Change,10.1007/s10113-021-01835-6,2-s2.0-85116348280,85116348280,9,https://api.elsevier.com/content/abstract/scopus_id/85116348280
Jeder H. (2021) 'Smallholder farmers’ perceptions and adaptation strategies to mitigate the effect of climate change in the oases of South-Eastern Tunisia'. New Medit. https://doi.org/10.30682/nm2105a,10.30682/nm2105a,Smallholder farmers’ perceptions and adaptation strategies to mitigate the effect of climate change in the oases of South-Eastern Tunisia,2021-12-01,New Medit,10.30682/nm2105a,2-s2.0-85125392902,85125392902,10,https://api.elsevier.com/content/abstract/scopus_id/85125392902
Jamal A.M. (2021) 'Gendered perceptions and adaptation practices of smallholder cocoa farmers to climate variability in the Central Region of Ghana'. Environmental Challenges. https://doi.org/10.1016/j.envc.2021.100293,10.1016/j.envc.2021.100293,Gendered perceptions and adaptation practices of smallholder cocoa farmers to climate variability in the Central Region of Ghana,2021-12-01,Environmental Challenges,10.1016/j.envc.2021.100293,2-s2.0-85122699271,85122699271,30,https://api.elsevier.com/content/abstract/scopus_id/85122699271
"Nguyen-Thi-Lan H. (2021) 'Assessment of farm households’ perception, beliefs and attitude toward climatic risks: A case study of rural Vietnam'. Plos One. https://doi.org/10.1371/journal.pone.0258598",10.1371/journal.pone.0258598,"Assessment of farm households’ perception, beliefs and attitude toward climatic risks: A case study of rural Vietnam",2021-12-01,Plos One,10.1371/journal.pone.0258598,2-s2.0-85121995914,85121995914,9,https://api.elsevier.com/content/abstract/scopus_id/85121995914
Mekonnen A. (2021) 'Climate change impacts on household food security and farmers adaptation strategies'. Journal of Agriculture and Food Research. https://doi.org/10.1016/j.jafr.2021.100197,10.1016/j.jafr.2021.100197,Climate change impacts on household food security and farmers adaptation strategies,2021-12-01,Journal of Agriculture and Food Research,10.1016/j.jafr.2021.100197,2-s2.0-85120906257,85120906257,79,https://api.elsevier.com/content/abstract/scopus_id/85120906257
"Fanadzo M. (2021) 'Smallholder farmer coping and adaptation strategies during the 2015-18 drought in the Western Cape, South Africa'. Physics and Chemistry of the Earth. https://doi.org/10.1016/j.pce.2021.102986",10.1016/j.pce.2021.102986,"Smallholder farmer coping and adaptation strategies during the 2015-18 drought in the Western Cape, South Africa",2021-12-01,Physics and Chemistry of the Earth,10.1016/j.pce.2021.102986,2-s2.0-85100379097,85100379097,13,https://api.elsevier.com/content/abstract/scopus_id/85100379097
"Mekuyie M. (2021) 'Perception of Impacts of Climate Variability on Pastoralists and Their Adaptation/Coping Strategies in Fentale District of Oromia Region, Ethiopia'. Environmental Systems Research. https://doi.org/10.1186/s40068-020-00212-2",10.1186/s40068-020-00212-2,"Perception of Impacts of Climate Variability on Pastoralists and Their Adaptation/Coping Strategies in Fentale District of Oromia Region, Ethiopia",2021-12-01,Environmental Systems Research,10.1186/s40068-020-00212-2,2-s2.0-85100000463,85100000463,34,https://api.elsevier.com/content/abstract/scopus_id/85100000463
Birthal P.S. (2021) 'Effectiveness of Farmers’ Risk Management Strategies in Smallholder Agriculture: Evidence from India'. Climatic Change. https://doi.org/10.1007/s10584-021-03271-1,10.1007/s10584-021-03271-1,Effectiveness of Farmers’ Risk Management Strategies in Smallholder Agriculture: Evidence from India,2021-12-01,Climatic Change,10.1007/s10584-021-03271-1,2-s2.0-85121298425,85121298425,14,https://api.elsevier.com/content/abstract/scopus_id/85121298425
Salvadeo C. (2021) 'Fisher's perceptions inform adaptation measures to reduce vulnerability to climate change in a Mexican natural protected area'. Marine Policy. https://doi.org/10.1016/j.marpol.2021.104793,10.1016/j.marpol.2021.104793,Fisher's perceptions inform adaptation measures to reduce vulnerability to climate change in a Mexican natural protected area,2021-12-01,Marine Policy,10.1016/j.marpol.2021.104793,2-s2.0-85115664545,85115664545,11,https://api.elsevier.com/content/abstract/scopus_id/85115664545
Mekonen A.A. (2021) 'Rural households’ livelihood vulnerability to climate variability and extremes: a livelihood zone-based approach in the Northeastern Highlands of Ethiopia'. Ecological Processes. https://doi.org/10.1186/s13717-021-00313-5,10.1186/s13717-021-00313-5,Rural households’ livelihood vulnerability to climate variability and extremes: a livelihood zone-based approach in the Northeastern Highlands of Ethiopia,2021-12-01,Ecological Processes,10.1186/s13717-021-00313-5,2-s2.0-85112010006,85112010006,61,https://api.elsevier.com/content/abstract/scopus_id/85112010006
Mugi-Ngenga E.W. (2021) 'Indigenous and conventional climate-knowledge for enhanced farmers' adaptation to climate variability in the semi-arid agro-ecologies of Kenya'. Environmental Challenges. https://doi.org/10.1016/j.envc.2021.100355,10.1016/j.envc.2021.100355,Indigenous and conventional climate-knowledge for enhanced farmers' adaptation to climate variability in the semi-arid agro-ecologies of Kenya,2021-12-01,Environmental Challenges,10.1016/j.envc.2021.100355,2-s2.0-85118776673,85118776673,20,https://api.elsevier.com/content/abstract/scopus_id/85118776673
Ojea E. (2021) 'Assessing countries’ social-ecological resilience to shifting marine commercial species'. Scientific Reports. https://doi.org/10.1038/s41598-021-02328-6,10.1038/s41598-021-02328-6,Assessing countries’ social-ecological resilience to shifting marine commercial species,2021-12-01,Scientific Reports,10.1038/s41598-021-02328-6,2-s2.0-85119830573,85119830573,8,https://api.elsevier.com/content/abstract/scopus_id/85119830573
Low N.H.N. (2021) 'Variable coastal hypoxia exposure and drivers across the southern California Current'. Scientific Reports. https://doi.org/10.1038/s41598-021-89928-4,10.1038/s41598-021-89928-4,Variable coastal hypoxia exposure and drivers across the southern California Current,2021-12-01,Scientific Reports,10.1038/s41598-021-89928-4,2-s2.0-85106929850,85106929850,30,https://api.elsevier.com/content/abstract/scopus_id/85106929850
Choquette-Levy N. (2021) 'Risk transfer policies and climate-induced immobility among smallholder farmers'. Nature Climate Change. https://doi.org/10.1038/s41558-021-01205-4,10.1038/s41558-021-01205-4,Risk transfer policies and climate-induced immobility among smallholder farmers,2021-12-01,Nature Climate Change,10.1038/s41558-021-01205-4,2-s2.0-85119658567,85119658567,31,https://api.elsevier.com/content/abstract/scopus_id/85119658567
Mason J.G. (2021) 'Projecting climate-driven shifts in demersal fish thermal habitat in Iceland's waters'. ICES Journal of Marine Science. https://doi.org/10.1093/icesjms/fsab230,10.1093/icesjms/fsab230,Projecting climate-driven shifts in demersal fish thermal habitat in Iceland's waters,2021-12-01,ICES Journal of Marine Science,10.1093/icesjms/fsab230,2-s2.0-85143124761,85143124761,14,https://api.elsevier.com/content/abstract/scopus_id/85143124761
Lemes A.P. (2021) 'Silvopastoral system is an alternative to improve animal welfare and productive performance in meat production systems'. Scientific Reports. https://doi.org/10.1038/s41598-021-93609-7,10.1038/s41598-021-93609-7,Silvopastoral system is an alternative to improve animal welfare and productive performance in meat production systems,2021-12-01,Scientific Reports,10.1038/s41598-021-93609-7,2-s2.0-85109913188,85109913188,60,https://api.elsevier.com/content/abstract/scopus_id/85109913188
Khalil M.B. (2021) 'Linking social capital and gender relationships in adaptation to a post-cyclone recovery context'. International Journal of Disaster Risk Reduction. https://doi.org/10.1016/j.ijdrr.2021.102601,10.1016/j.ijdrr.2021.102601,Linking social capital and gender relationships in adaptation to a post-cyclone recovery context,2021-12-01,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2021.102601,2-s2.0-85118798762,85118798762,26,https://api.elsevier.com/content/abstract/scopus_id/85118798762
Gómez Murciano M. (2021) 'Comparative analysis of the social vulnerability assessment to climate change applied to fisheries from Spain and Turkey'. Scientific Reports. https://doi.org/10.1038/s41598-021-93165-0,10.1038/s41598-021-93165-0,Comparative analysis of the social vulnerability assessment to climate change applied to fisheries from Spain and Turkey,2021-12-01,Scientific Reports,10.1038/s41598-021-93165-0,2-s2.0-85109295113,85109295113,11,https://api.elsevier.com/content/abstract/scopus_id/85109295113
"Sen L.T.H. (2021) 'Farmers’ barriers to the access and use of climate information in the mountainous regions of Thừa Thiên Huế province, Vietnam'. Climate Services. https://doi.org/10.1016/j.cliser.2021.100267",10.1016/j.cliser.2021.100267,"Farmers’ barriers to the access and use of climate information in the mountainous regions of Thừa Thiên Huế province, Vietnam",2021-12-01,Climate Services,10.1016/j.cliser.2021.100267,2-s2.0-85120953937,85120953937,37,https://api.elsevier.com/content/abstract/scopus_id/85120953937
Stokes G.L. (2021) 'A global dataset of inland fisheries expert knowledge'. Scientific Data. https://doi.org/10.1038/s41597-021-00949-0,10.1038/s41597-021-00949-0,A global dataset of inland fisheries expert knowledge,2021-12-01,Scientific Data,10.1038/s41597-021-00949-0,2-s2.0-85110715346,85110715346,9,https://api.elsevier.com/content/abstract/scopus_id/85110715346
Kilwenge R. (2021) 'Uav-based mapping of banana land area for village-level decision-support in rwanda'. Remote Sensing. https://doi.org/10.3390/rs13244985,10.3390/rs13244985,Uav-based mapping of banana land area for village-level decision-support in rwanda,2021-12-01,Remote Sensing,10.3390/rs13244985,2-s2.0-85121376638,85121376638,16,https://api.elsevier.com/content/abstract/scopus_id/85121376638
"Cai R. (2021) 'Climate change and China's coastal zones and seas: Impacts, risks, and adaptation'. Chinese Journal of Population Resources and Environment. https://doi.org/10.1016/j.cjpre.2022.01.003",10.1016/j.cjpre.2022.01.003,"Climate change and China's coastal zones and seas: Impacts, risks, and adaptation",2021-12-01,Chinese Journal of Population Resources and Environment,10.1016/j.cjpre.2022.01.003,2-s2.0-85133692829,85133692829,37,https://api.elsevier.com/content/abstract/scopus_id/85133692829
Sanga U. (2021) 'Dynamic pathways of barriers and opportunities for food security and climate adaptation in Southern Mali'. World Development. https://doi.org/10.1016/j.worlddev.2021.105663,10.1016/j.worlddev.2021.105663,Dynamic pathways of barriers and opportunities for food security and climate adaptation in Southern Mali,2021-12-01,World Development,10.1016/j.worlddev.2021.105663,2-s2.0-85113337270,85113337270,18,https://api.elsevier.com/content/abstract/scopus_id/85113337270
Dinesh D. (2021) 'Enacting theories of change for food systems transformation under climate change'. Global Food Security. https://doi.org/10.1016/j.gfs.2021.100583,10.1016/j.gfs.2021.100583,Enacting theories of change for food systems transformation under climate change,2021-12-01,Global Food Security,10.1016/j.gfs.2021.100583,2-s2.0-85116930479,85116930479,52,https://api.elsevier.com/content/abstract/scopus_id/85116930479
Lincoln S. (2021) 'A regional review of marine and coastal impacts of climate change on the ROPME sea area'. Sustainability Switzerland. https://doi.org/10.3390/su132413810,10.3390/su132413810,A regional review of marine and coastal impacts of climate change on the ROPME sea area,2021-12-01,Sustainability Switzerland,10.3390/su132413810,2-s2.0-85121246687,85121246687,41,https://api.elsevier.com/content/abstract/scopus_id/85121246687
Kmoch L. (2021) 'Cyclone Komen’s aftermath: Local knowledge shows how poverty and inequalities fuel climate risk in western Myanmar'. Regional Environmental Change. https://doi.org/10.1007/s10113-021-01847-2,10.1007/s10113-021-01847-2,Cyclone Komen’s aftermath: Local knowledge shows how poverty and inequalities fuel climate risk in western Myanmar,2021-12-01,Regional Environmental Change,10.1007/s10113-021-01847-2,2-s2.0-85117949853,85117949853,5,https://api.elsevier.com/content/abstract/scopus_id/85117949853
McPherson M.L. (2021) 'Large-scale shift in the structure of a kelp forest ecosystem co-occurs with an epizootic and marine heatwave'. Communications Biology. https://doi.org/10.1038/s42003-021-01827-6,10.1038/s42003-021-01827-6,Large-scale shift in the structure of a kelp forest ecosystem co-occurs with an epizootic and marine heatwave,2021-12-01,Communications Biology,10.1038/s42003-021-01827-6,2-s2.0-85102182652,85102182652,143,https://api.elsevier.com/content/abstract/scopus_id/85102182652
Autio A. (2021) 'Constraints for adopting climate-smart agricultural practices among smallholder farmers in Southeast Kenya'. Agricultural Systems. https://doi.org/10.1016/j.agsy.2021.103284,10.1016/j.agsy.2021.103284,Constraints for adopting climate-smart agricultural practices among smallholder farmers in Southeast Kenya,2021-12-01,Agricultural Systems,10.1016/j.agsy.2021.103284,2-s2.0-85117148152,85117148152,128,https://api.elsevier.com/content/abstract/scopus_id/85117148152
"Rosen J.G. (2021) '“Burnt by the scorching sun”: climate-induced livelihood transformations, reproductive health, and fertility trajectories in drought-affected communities of Zambia'. BMC Public Health. https://doi.org/10.1186/s12889-021-11560-8",10.1186/s12889-021-11560-8,"“Burnt by the scorching sun”: climate-induced livelihood transformations, reproductive health, and fertility trajectories in drought-affected communities of Zambia",2021-12-01,BMC Public Health,10.1186/s12889-021-11560-8,2-s2.0-85112006125,85112006125,28,https://api.elsevier.com/content/abstract/scopus_id/85112006125
"Cheruiyot D. (2021) 'Field evaluation of a new third generation push-pull technology for control of striga weed, stemborers, and fall armyworm in western Kenya'. Experimental Agriculture. https://doi.org/10.1017/s0014479721000260",10.1017/s0014479721000260,"Field evaluation of a new third generation push-pull technology for control of striga weed, stemborers, and fall armyworm in western Kenya",2021-12-01,Experimental Agriculture,10.1017/s0014479721000260,2-s2.0-85124648904,85124648904,29,https://api.elsevier.com/content/abstract/scopus_id/85124648904
Zikhali Z.M. (2021) 'Extension Agents’ Perception on Suitability of Climate Change Information Disseminated to Smallholder Farmers'. Journal of Asian and African Studies. https://doi.org/10.1177/00219096211004642,10.1177/00219096211004642,Extension Agents’ Perception on Suitability of Climate Change Information Disseminated to Smallholder Farmers,2021-12-01,Journal of Asian and African Studies,10.1177/00219096211004642,2-s2.0-85104346707,85104346707,4,https://api.elsevier.com/content/abstract/scopus_id/85104346707
Maskell G. (2021) 'Integration of Sentinel optical and radar data for mapping smallholder coffee production systems in Vietnam'. Remote Sensing of Environment. https://doi.org/10.1016/j.rse.2021.112709,10.1016/j.rse.2021.112709,Integration of Sentinel optical and radar data for mapping smallholder coffee production systems in Vietnam,2021-12-01,Remote Sensing of Environment,10.1016/j.rse.2021.112709,2-s2.0-85115794946,85115794946,51,https://api.elsevier.com/content/abstract/scopus_id/85115794946
Taye M.T. (2021) 'Effect of irrigation water withdrawal on the hydrology of the Lake Tana sub-basin'. Journal of Hydrology Regional Studies. https://doi.org/10.1016/j.ejrh.2021.100961,10.1016/j.ejrh.2021.100961,Effect of irrigation water withdrawal on the hydrology of the Lake Tana sub-basin,2021-12-01,Journal of Hydrology Regional Studies,10.1016/j.ejrh.2021.100961,2-s2.0-85119123051,85119123051,39,https://api.elsevier.com/content/abstract/scopus_id/85119123051
"Alamgir M.S. (2021) 'Farm income, inequality, and poverty among farm families of a flood-prone area in Bangladesh: climate change vulnerability assessment'. Geojournal. https://doi.org/10.1007/s10708-020-10231-2",10.1007/s10708-020-10231-2,"Farm income, inequality, and poverty among farm families of a flood-prone area in Bangladesh: climate change vulnerability assessment",2021-12-01,Geojournal,10.1007/s10708-020-10231-2,2-s2.0-85085623085,85085623085,31,https://api.elsevier.com/content/abstract/scopus_id/85085623085
Metzger K. (2021) 'Effects of temperature on proliferation of myoblasts from donor piglets with different thermoregulatory maturities'. BMC Molecular and Cell Biology. https://doi.org/10.1186/s12860-021-00376-4,10.1186/s12860-021-00376-4,Effects of temperature on proliferation of myoblasts from donor piglets with different thermoregulatory maturities,2021-12-01,BMC Molecular and Cell Biology,10.1186/s12860-021-00376-4,2-s2.0-85109794245,85109794245,11,https://api.elsevier.com/content/abstract/scopus_id/85109794245
"Giudice L.C. (2021) 'Climate change, women’s health, and the role of obstetricians and gynecologists in leadership'. International Journal of Gynecology and Obstetrics. https://doi.org/10.1002/ijgo.13958",10.1002/ijgo.13958,"Climate change, women’s health, and the role of obstetricians and gynecologists in leadership",2021-12-01,International Journal of Gynecology and Obstetrics,10.1002/ijgo.13958,2-s2.0-85117880918,85117880918,109,https://api.elsevier.com/content/abstract/scopus_id/85117880918
Litzow M.A. (2021) 'Using a climate attribution statistic to inform judgments about changing fisheries sustainability'. Scientific Reports. https://doi.org/10.1038/s41598-021-03405-6,10.1038/s41598-021-03405-6,Using a climate attribution statistic to inform judgments about changing fisheries sustainability,2021-12-01,Scientific Reports,10.1038/s41598-021-03405-6,2-s2.0-85121300810,85121300810,17,https://api.elsevier.com/content/abstract/scopus_id/85121300810
Allen E.M. (2021) 'Kenyan women bearing the cost of climate change'. International Journal of Environmental Research and Public Health. https://doi.org/10.3390/ijerph182312697,10.3390/ijerph182312697,Kenyan women bearing the cost of climate change,2021-12-01,International Journal of Environmental Research and Public Health,10.3390/ijerph182312697,2-s2.0-85120320363,85120320363,27,https://api.elsevier.com/content/abstract/scopus_id/85120320363
Etongo D. (2021) 'Vulnerability of fishery-based livelihoods to climate variability and change in a tropical island: insights from small-scale fishers in Seychelles'. Discover Sustainability. https://doi.org/10.1007/s43621-021-00057-4,10.1007/s43621-021-00057-4,Vulnerability of fishery-based livelihoods to climate variability and change in a tropical island: insights from small-scale fishers in Seychelles,2021-12-01,Discover Sustainability,10.1007/s43621-021-00057-4,2-s2.0-85126680556,85126680556,15,https://api.elsevier.com/content/abstract/scopus_id/85126680556
Wilson R.J. (2021) 'Large projected reductions in marine fish biomass for Kenya and Tanzania in the absence of climate mitigation'. Ocean and Coastal Management. https://doi.org/10.1016/j.ocecoaman.2021.105921,10.1016/j.ocecoaman.2021.105921,Large projected reductions in marine fish biomass for Kenya and Tanzania in the absence of climate mitigation,2021-12-01,Ocean and Coastal Management,10.1016/j.ocecoaman.2021.105921,2-s2.0-85118581926,85118581926,16,https://api.elsevier.com/content/abstract/scopus_id/85118581926
"Tarchiani V. (2021) 'Access, uptake, use and impacts of agrometeorological services in sahelian rural areas: The case of burkina faso'. Agronomy. https://doi.org/10.3390/agronomy11122431",10.3390/agronomy11122431,"Access, uptake, use and impacts of agrometeorological services in sahelian rural areas: The case of burkina faso",2021-12-01,Agronomy,10.3390/agronomy11122431,2-s2.0-85121751588,85121751588,16,https://api.elsevier.com/content/abstract/scopus_id/85121751588
