citation_raw,record_key,title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
Fudjumdjum H. (2026) 'Assessing perceptions of various stakeholders on climate change mitigation and adaptation in rural areas in Cameroon: The use of ICTs'. Climate Risk Management. https://doi.org/10.1016/j.crm.2025.100780,10.1016/j.crm.2025.100780,Assessing perceptions of various stakeholders on climate change mitigation and adaptation in rural areas in Cameroon: The use of ICTs,2026-03-01,Climate Risk Management,10.1016/j.crm.2025.100780,2-s2.0-105025952953,105025952953,0,https://api.elsevier.com/content/abstract/scopus_id/105025952953
Zhu Z. (2026) 'Willing or unable? The cognitive–resource mismatch behind farmers' adaptive behavior under agricultural disasters'. Agricultural Systems. https://doi.org/10.1016/j.agsy.2025.104612,10.1016/j.agsy.2025.104612,Willing or unable? The cognitive–resource mismatch behind farmers' adaptive behavior under agricultural disasters,2026-03-01,Agricultural Systems,10.1016/j.agsy.2025.104612,2-s2.0-105025647162,105025647162,0,https://api.elsevier.com/content/abstract/scopus_id/105025647162
"Dlamini L. (2026) 'Climate change impacts on rainfed maize production of small-scale cropping systems in Eastern Cape, South Africa'. Agricultural Systems. https://doi.org/10.1016/j.agsy.2025.104627",10.1016/j.agsy.2025.104627,"Climate change impacts on rainfed maize production of small-scale cropping systems in Eastern Cape, South Africa",2026-03-01,Agricultural Systems,10.1016/j.agsy.2025.104627,2-s2.0-105025555729,105025555729,0,https://api.elsevier.com/content/abstract/scopus_id/105025555729
Cortes J.R. (2026) 'Climate-smart aquaculture: Innovations and challenges in mitigating climate change impacts on fisheries and coastal agriculture'. Aquaculture and Fisheries. https://doi.org/10.1016/j.aaf.2025.08.009,10.1016/j.aaf.2025.08.009,Climate-smart aquaculture: Innovations and challenges in mitigating climate change impacts on fisheries and coastal agriculture,2026-03-01,Aquaculture and Fisheries,10.1016/j.aaf.2025.08.009,2-s2.0-105014462182,105014462182,2,https://api.elsevier.com/content/abstract/scopus_id/105014462182
Hossain M.A. (2026) 'Evaluating feeding strategies to improve growth and profitability in carp fattening'. Aquaculture and Fisheries. https://doi.org/10.1016/j.aaf.2025.09.002,10.1016/j.aaf.2025.09.002,Evaluating feeding strategies to improve growth and profitability in carp fattening,2026-03-01,Aquaculture and Fisheries,10.1016/j.aaf.2025.09.002,2-s2.0-105017446146,105017446146,0,https://api.elsevier.com/content/abstract/scopus_id/105017446146
Amoak D. (2026) 'Building climate resilience in the MENA region: a feminist political ecology of agroecology and neglected and underutilized crop species'. Agriculture and Human Values. https://doi.org/10.1007/s10460-025-10826-w,10.1007/s10460-025-10826-w,Building climate resilience in the MENA region: a feminist political ecology of agroecology and neglected and underutilized crop species,2026-03-01,Agriculture and Human Values,10.1007/s10460-025-10826-w,2-s2.0-105025259681,105025259681,0,https://api.elsevier.com/content/abstract/scopus_id/105025259681
Kundu N.D. (2026) 'Does the adoption of improved pulse technologies increase farm profitability in the face of climate risk? Evidence from coastal Bangladesh'. Environmental Challenges. https://doi.org/10.1016/j.envc.2025.101384,10.1016/j.envc.2025.101384,Does the adoption of improved pulse technologies increase farm profitability in the face of climate risk? Evidence from coastal Bangladesh,2026-03-01,Environmental Challenges,10.1016/j.envc.2025.101384,2-s2.0-105024613241,105024613241,1,https://api.elsevier.com/content/abstract/scopus_id/105024613241
"Muringai R.T. (2026) 'Analysis of aquaculture methods, socio-economic benefits, and challenges faced by small-scale fish farmers in Chiredzi Rural District, Zimbabwe'. Scientific African. https://doi.org/10.1016/j.sciaf.2025.e03128",10.1016/j.sciaf.2025.e03128,"Analysis of aquaculture methods, socio-economic benefits, and challenges faced by small-scale fish farmers in Chiredzi Rural District, Zimbabwe",2026-03-01,Scientific African,10.1016/j.sciaf.2025.e03128,2-s2.0-105024605117,105024605117,0,https://api.elsevier.com/content/abstract/scopus_id/105024605117
Andrés M. (2026) 'Fleet resilience under variations on fish size and fishing ground location: The Spanish anchovy fishery'. Marine Policy. https://doi.org/10.1016/j.marpol.2025.106955,10.1016/j.marpol.2025.106955,Fleet resilience under variations on fish size and fishing ground location: The Spanish anchovy fishery,2026-03-01,Marine Policy,10.1016/j.marpol.2025.106955,2-s2.0-105021978347,105021978347,0,https://api.elsevier.com/content/abstract/scopus_id/105021978347
Wang W. (2026) 'Cereal-legume intercropping stabilizes yield and economic advantages under variable rainfall in semiarid rainfed environment'. European Journal of Agronomy. https://doi.org/10.1016/j.eja.2025.127942,10.1016/j.eja.2025.127942,Cereal-legume intercropping stabilizes yield and economic advantages under variable rainfall in semiarid rainfed environment,2026-03-01,European Journal of Agronomy,10.1016/j.eja.2025.127942,2-s2.0-105023280637,105023280637,0,https://api.elsevier.com/content/abstract/scopus_id/105023280637
Naydani C.J. (2026) '(How) have human behaviour change interventions influenced livestock farmers’ behaviours in relation to One Welfare components? A scoping review'. Agriculture and Human Values. https://doi.org/10.1007/s10460-025-10812-2,10.1007/s10460-025-10812-2,(How) have human behaviour change interventions influenced livestock farmers’ behaviours in relation to One Welfare components? A scoping review,2026-03-01,Agriculture and Human Values,10.1007/s10460-025-10812-2,2-s2.0-105025707582,105025707582,0,https://api.elsevier.com/content/abstract/scopus_id/105025707582
Shi C. (2026) 'Balancing grassland ecology and herders’ economic benefits: The impact of Grassland ecological compensation policy in Inner Mongolia'. Land Use Policy. https://doi.org/10.1016/j.landusepol.2025.107904,10.1016/j.landusepol.2025.107904,Balancing grassland ecology and herders’ economic benefits: The impact of Grassland ecological compensation policy in Inner Mongolia,2026-03-01,Land Use Policy,10.1016/j.landusepol.2025.107904,2-s2.0-105024195713,105024195713,0,https://api.elsevier.com/content/abstract/scopus_id/105024195713
Mayer M.A. (2026) 'Silvopastoral systems enhance the resilience of warm-season grasses by increasing minimum temperatures across seasons'. Agriculture Ecosystems and Environment. https://doi.org/10.1016/j.agee.2025.110044,10.1016/j.agee.2025.110044,Silvopastoral systems enhance the resilience of warm-season grasses by increasing minimum temperatures across seasons,2026-02-28,Agriculture Ecosystems and Environment,10.1016/j.agee.2025.110044,2-s2.0-105019958083,105019958083,0,https://api.elsevier.com/content/abstract/scopus_id/105019958083
Tabe-Ojong M.P. (2026) 'Turning up the heat: Extreme heat and labor implications in West Africa'. Journal of Development Economics. https://doi.org/10.1016/j.jdeveco.2025.103683,10.1016/j.jdeveco.2025.103683,Turning up the heat: Extreme heat and labor implications in West Africa,2026-02-01,Journal of Development Economics,10.1016/j.jdeveco.2025.103683,2-s2.0-105022156062,105022156062,1,https://api.elsevier.com/content/abstract/scopus_id/105022156062
Rahman N.S.A. (2026) 'Advancing global food security via multidimensional strategies for sustainable paddy productivity'. Multidisciplinary Reviews. https://doi.org/10.31893/multirev.2026097,10.31893/multirev.2026097,Advancing global food security via multidimensional strategies for sustainable paddy productivity,2026-02-01,Multidisciplinary Reviews,10.31893/multirev.2026097,2-s2.0-105014878106,105014878106,0,https://api.elsevier.com/content/abstract/scopus_id/105014878106
Bado B. (2026) 'Adapting Agriculture to Climate Change: Are Climate-Smart Practices Important in Burkina Faso?'. Plant Environment Interactions. https://doi.org/10.1002/pei3.70113,10.1002/pei3.70113,Adapting Agriculture to Climate Change: Are Climate-Smart Practices Important in Burkina Faso?,2026-02-01,Plant Environment Interactions,10.1002/pei3.70113,2-s2.0-105026408602,105026408602,0,https://api.elsevier.com/content/abstract/scopus_id/105026408602
Baladia Y. (2026) 'Accelerating collapse of freshwater ecosystems and fish communities in North Africa's Middle Atlas under combined climatic and anthropogenic pressures'. Journal of Arid Environments. https://doi.org/10.1016/j.jaridenv.2025.105517,10.1016/j.jaridenv.2025.105517,Accelerating collapse of freshwater ecosystems and fish communities in North Africa's Middle Atlas under combined climatic and anthropogenic pressures,2026-02-01,Journal of Arid Environments,10.1016/j.jaridenv.2025.105517,2-s2.0-105021611137,105021611137,0,https://api.elsevier.com/content/abstract/scopus_id/105021611137
Airs P.M. (2026) 'Five Point Check©-based management of goat health can be self-sustainable without long-term public funding: A 5-year retrospective study of Malawi smallholdings'. Small Ruminant Research. https://doi.org/10.1016/j.smallrumres.2025.107678,10.1016/j.smallrumres.2025.107678,Five Point Check©-based management of goat health can be self-sustainable without long-term public funding: A 5-year retrospective study of Malawi smallholdings,2026-02-01,Small Ruminant Research,10.1016/j.smallrumres.2025.107678,2-s2.0-105024248067,105024248067,0,https://api.elsevier.com/content/abstract/scopus_id/105024248067
"Abdi M.H.S. (2026) 'Aquaculture for food security and climate resilience in Somalia: Opportunities, challenges, adaptive pathways and policy recommendations'. Bioresource Technology Reports. https://doi.org/10.1016/j.biteb.2025.102480",10.1016/j.biteb.2025.102480,"Aquaculture for food security and climate resilience in Somalia: Opportunities, challenges, adaptive pathways and policy recommendations",2026-02-01,Bioresource Technology Reports,10.1016/j.biteb.2025.102480,2-s2.0-105025117190,105025117190,0,https://api.elsevier.com/content/abstract/scopus_id/105025117190
"Yeo M.H. (2026) 'Ridge-to-reef linkages in Apra Harbor, Guam describe spatial and temporal variation in water quality and coral reef assemblages'. Marine Pollution Bulletin. https://doi.org/10.1016/j.marpolbul.2025.119026",10.1016/j.marpolbul.2025.119026,"Ridge-to-reef linkages in Apra Harbor, Guam describe spatial and temporal variation in water quality and coral reef assemblages",2026-02-01,Marine Pollution Bulletin,10.1016/j.marpolbul.2025.119026,2-s2.0-105022519907,105022519907,0,https://api.elsevier.com/content/abstract/scopus_id/105022519907
"Sodri A. (2026) 'Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia'. Marine Pollution Bulletin. https://doi.org/10.1016/j.marpolbul.2025.119018",10.1016/j.marpolbul.2025.119018,"Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia",2026-02-01,Marine Pollution Bulletin,10.1016/j.marpolbul.2025.119018,2-s2.0-105022068344,105022068344,0,https://api.elsevier.com/content/abstract/scopus_id/105022068344
Reid G. (2026) 'Considering climate-driven weather implications on lobster harvesting effort in Nova Scotia'. Marine Policy. https://doi.org/10.1016/j.marpol.2025.106936,10.1016/j.marpol.2025.106936,Considering climate-driven weather implications on lobster harvesting effort in Nova Scotia,2026-02-01,Marine Policy,10.1016/j.marpol.2025.106936,2-s2.0-105021107213,105021107213,0,https://api.elsevier.com/content/abstract/scopus_id/105021107213
Khalid B. (2026) 'Precision Rewiring of Stress-Responsive Gene Networks Via CRISPR: Mechanistic Pathways Toward Climate-Smart Agriculture'. Journal of Crop Health. https://doi.org/10.1007/s10343-025-01273-y,10.1007/s10343-025-01273-y,Precision Rewiring of Stress-Responsive Gene Networks Via CRISPR: Mechanistic Pathways Toward Climate-Smart Agriculture,2026-02-01,Journal of Crop Health,10.1007/s10343-025-01273-y,2-s2.0-105023845974,105023845974,0,https://api.elsevier.com/content/abstract/scopus_id/105023845974
"Abrego-Perez A.L. (2026) 'Climate risk, policy, and insurance: a forecast-based model for weather index design in vulnerable economies'. International Economics and Economic Policy. https://doi.org/10.1007/s10368-025-00695-3",10.1007/s10368-025-00695-3,"Climate risk, policy, and insurance: a forecast-based model for weather index design in vulnerable economies",2026-02-01,International Economics and Economic Policy,10.1007/s10368-025-00695-3,2-s2.0-105023529681,105023529681,0,https://api.elsevier.com/content/abstract/scopus_id/105023529681
Sam K. (2026) 'Mangrove management for sustainable development in Nigeria: Policy challenges and future direction'. Marine Policy. https://doi.org/10.1016/j.marpol.2025.106957,10.1016/j.marpol.2025.106957,Mangrove management for sustainable development in Nigeria: Policy challenges and future direction,2026-02-01,Marine Policy,10.1016/j.marpol.2025.106957,2-s2.0-105022015369,105022015369,0,https://api.elsevier.com/content/abstract/scopus_id/105022015369
Turunen M. (2026) 'Reindeer husbandry is more than herding – Contemporary roles of women in reindeer husbandry in Finland'. Journal of Rural Studies. https://doi.org/10.1016/j.jrurstud.2025.103968,10.1016/j.jrurstud.2025.103968,Reindeer husbandry is more than herding – Contemporary roles of women in reindeer husbandry in Finland,2026-02-01,Journal of Rural Studies,10.1016/j.jrurstud.2025.103968,2-s2.0-105024451545,105024451545,1,https://api.elsevier.com/content/abstract/scopus_id/105024451545
Garg D. (2026) 'Estimation of wheat yields and water savings with deficit irrigation in water-stressed NW India'. Agricultural Water Management. https://doi.org/10.1016/j.agwat.2025.110036,10.1016/j.agwat.2025.110036,Estimation of wheat yields and water savings with deficit irrigation in water-stressed NW India,2026-02-01,Agricultural Water Management,10.1016/j.agwat.2025.110036,2-s2.0-105023967459,105023967459,0,https://api.elsevier.com/content/abstract/scopus_id/105023967459
"Chowdhury K.M.A. (2026) 'Identifying conflicts and sectoral dynamics prior to marine spatial planning: A case study of Bhola and Hatia, two coastal islands of Bangladesh'. Marine Policy. https://doi.org/10.1016/j.marpol.2025.106940",10.1016/j.marpol.2025.106940,"Identifying conflicts and sectoral dynamics prior to marine spatial planning: A case study of Bhola and Hatia, two coastal islands of Bangladesh",2026-02-01,Marine Policy,10.1016/j.marpol.2025.106940,2-s2.0-105022020550,105022020550,0,https://api.elsevier.com/content/abstract/scopus_id/105022020550
"Nath A. (2026) 'An Umbrella Review of Systematic Reviews and Meta-Analyses on Occupational Heat Exposure, Health Risks, and Productivity Losses Globally'. Current Environmental Health Reports. https://doi.org/10.1007/s40572-025-00520-8",10.1007/s40572-025-00520-8,"An Umbrella Review of Systematic Reviews and Meta-Analyses on Occupational Heat Exposure, Health Risks, and Productivity Losses Globally",2026-01-07,Current Environmental Health Reports,10.1007/s40572-025-00520-8,2-s2.0-105026840778,105026840778,0,https://api.elsevier.com/content/abstract/scopus_id/105026840778
"Tandane H.J. (2026) 'Irrigation Challenges, Water Access, and Adaptation Strategies in Smallholder Farming: Evidence From Gaza Province, Mozambique'. Global Challenges. https://doi.org/10.1002/gch2.202500342",10.1002/gch2.202500342,"Irrigation Challenges, Water Access, and Adaptation Strategies in Smallholder Farming: Evidence From Gaza Province, Mozambique",2026-01-01,Global Challenges,10.1002/gch2.202500342,2-s2.0-105022706141,105022706141,0,https://api.elsevier.com/content/abstract/scopus_id/105022706141
Opoku Mensah S. (2026) 'The role of institutions in enhancing climate change adaptation by smallholder farmers in the Talensi district of Ghana'. Environmental Development. https://doi.org/10.1016/j.envdev.2025.101341,10.1016/j.envdev.2025.101341,The role of institutions in enhancing climate change adaptation by smallholder farmers in the Talensi district of Ghana,2026-01-01,Environmental Development,10.1016/j.envdev.2025.101341,2-s2.0-105015102654,105015102654,0,https://api.elsevier.com/content/abstract/scopus_id/105015102654
Omer M.A. (2026) 'Vulnerability and adaptive capacity of fisheries-dependent communities on the Coast of Berbera to climate change'. Cogent Social Sciences. https://doi.org/10.1080/23311886.2025.2604967,10.1080/23311886.2025.2604967,Vulnerability and adaptive capacity of fisheries-dependent communities on the Coast of Berbera to climate change,2026-01-01,Cogent Social Sciences,10.1080/23311886.2025.2604967,2-s2.0-105026473307,105026473307,0,https://api.elsevier.com/content/abstract/scopus_id/105026473307
Bahta Y.T. (2026) 'Resilience of small-Scale maize irrigation farmers to climate change stress in South Africa'. Mitigation and Adaptation Strategies for Global Change. https://doi.org/10.1007/s11027-025-10280-3,10.1007/s11027-025-10280-3,Resilience of small-Scale maize irrigation farmers to climate change stress in South Africa,2026-01-01,Mitigation and Adaptation Strategies for Global Change,10.1007/s11027-025-10280-3,2-s2.0-105026243587,105026243587,0,https://api.elsevier.com/content/abstract/scopus_id/105026243587
Ayalew F.B. (2026) 'On the frontline of change: Climate vulnerability and adaptation among Lake Chilwa’s (Malawi) smallscale fishers'. Cogent Food and Agriculture. https://doi.org/10.1080/23311932.2025.2609331,10.1080/23311932.2025.2609331,On the frontline of change: Climate vulnerability and adaptation among Lake Chilwa’s (Malawi) smallscale fishers,2026-01-01,Cogent Food and Agriculture,10.1080/23311932.2025.2609331,2-s2.0-105026263260,105026263260,0,https://api.elsevier.com/content/abstract/scopus_id/105026263260
"Ogutu E.A. (2026) 'Household resilience and adaptation strategies for enhancing access to energy, water, and food during droughts and floods: A qualitative study'. International Journal of Hygiene and Environmental Health. https://doi.org/10.1016/j.ijheh.2025.114705",10.1016/j.ijheh.2025.114705,"Household resilience and adaptation strategies for enhancing access to energy, water, and food during droughts and floods: A qualitative study",2026-01-01,International Journal of Hygiene and Environmental Health,10.1016/j.ijheh.2025.114705,2-s2.0-105020429048,105020429048,0,https://api.elsevier.com/content/abstract/scopus_id/105020429048
"Nyathi D. (2026) 'The Climate Migration Nexus in Lupane, Zimbabwe: Adapting to Change or Fleeing a Crisis?'. Journal of Sustainable Development Law and Policy. https://doi.org/10.4314/jsdlp.v17i2.3",10.4314/jsdlp.v17i2.3,"The Climate Migration Nexus in Lupane, Zimbabwe: Adapting to Change or Fleeing a Crisis?",2026-01-01,Journal of Sustainable Development Law and Policy,10.4314/jsdlp.v17i2.3,2-s2.0-105024657862,105024657862,0,https://api.elsevier.com/content/abstract/scopus_id/105024657862
Pienaah C.K.A. (2026) 'Smallholder farmers’ perceptions of the impact of climate change on the mental and physical health of their livestock in semi-arid Ghana'. Preventive Veterinary Medicine. https://doi.org/10.1016/j.prevetmed.2025.106718,10.1016/j.prevetmed.2025.106718,Smallholder farmers’ perceptions of the impact of climate change on the mental and physical health of their livestock in semi-arid Ghana,2026-01-01,Preventive Veterinary Medicine,10.1016/j.prevetmed.2025.106718,2-s2.0-105018389507,105018389507,0,https://api.elsevier.com/content/abstract/scopus_id/105018389507
"Voronkova A. (2026) 'Gender Differences in Perceptions of Environmental Changes in West Kalimantan, Indonesia: Existing and Shifting Social Roles'. Society and Natural Resources. https://doi.org/10.1080/08941920.2025.2534958",10.1080/08941920.2025.2534958,"Gender Differences in Perceptions of Environmental Changes in West Kalimantan, Indonesia: Existing and Shifting Social Roles",2026-01-01,Society and Natural Resources,10.1080/08941920.2025.2534958,2-s2.0-105011340967,105011340967,0,https://api.elsevier.com/content/abstract/scopus_id/105011340967
Killa M.F. (2026) 'Pathways of household adaptiveness to climate risk: A survey in a semi-arid region of Indonesia'. International Journal of Disaster Risk Reduction. https://doi.org/10.1016/j.ijdrr.2025.105960,10.1016/j.ijdrr.2025.105960,Pathways of household adaptiveness to climate risk: A survey in a semi-arid region of Indonesia,2026-01-01,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2025.105960,2-s2.0-105026601181,105026601181,0,https://api.elsevier.com/content/abstract/scopus_id/105026601181
Li T. (2026) 'Enhancing climate resilience of pastoral communities through informal institutions: evidence from Inner Mongolia'. Climate and Development. https://doi.org/10.1080/17565529.2025.2500454,10.1080/17565529.2025.2500454,Enhancing climate resilience of pastoral communities through informal institutions: evidence from Inner Mongolia,2026-01-01,Climate and Development,10.1080/17565529.2025.2500454,2-s2.0-105004852232,105004852232,0,https://api.elsevier.com/content/abstract/scopus_id/105004852232
Nandhini R.S. (2026) 'Coastal consequences: Navigating sea level rise and engineering solutions'. Ocean and Coastal Management. https://doi.org/10.1016/j.ocecoaman.2025.108006,10.1016/j.ocecoaman.2025.108006,Coastal consequences: Navigating sea level rise and engineering solutions,2026-01-01,Ocean and Coastal Management,10.1016/j.ocecoaman.2025.108006,2-s2.0-105024079490,105024079490,0,https://api.elsevier.com/content/abstract/scopus_id/105024079490
"Nkuba M.R. (2026) 'The effect of using indigenous and scientific forecasts on arable farmers’ crop yields: Evidence from Rwenzori region, Western Uganda'. Environmental Development. https://doi.org/10.1016/j.envdev.2025.101303",10.1016/j.envdev.2025.101303,"The effect of using indigenous and scientific forecasts on arable farmers’ crop yields: Evidence from Rwenzori region, Western Uganda",2026-01-01,Environmental Development,10.1016/j.envdev.2025.101303,2-s2.0-105013096051,105013096051,0,https://api.elsevier.com/content/abstract/scopus_id/105013096051
Huang H. (2026) 'Unveiling dynamic conservation gaps for highly migratory marine fishes through seasonal niche-environment alignment'. Ocean and Coastal Management. https://doi.org/10.1016/j.ocecoaman.2025.107976,10.1016/j.ocecoaman.2025.107976,Unveiling dynamic conservation gaps for highly migratory marine fishes through seasonal niche-environment alignment,2026-01-01,Ocean and Coastal Management,10.1016/j.ocecoaman.2025.107976,2-s2.0-105021087401,105021087401,0,https://api.elsevier.com/content/abstract/scopus_id/105021087401
"Sharnappa M.H. (2026) 'Multivariate assessment of water quality, fish diversity, tilapia invasion, productivity, and yield relationships in a tropical reservoir'. Environmental Monitoring and Assessment. https://doi.org/10.1007/s10661-025-14852-3",10.1007/s10661-025-14852-3,"Multivariate assessment of water quality, fish diversity, tilapia invasion, productivity, and yield relationships in a tropical reservoir",2026-01-01,Environmental Monitoring and Assessment,10.1007/s10661-025-14852-3,2-s2.0-105024307485,105024307485,0,https://api.elsevier.com/content/abstract/scopus_id/105024307485
Moller K. (2026) 'A novel framework for evaluating farmer resilience: Methodological advances and theoretical foundations'. Agricultural Systems. https://doi.org/10.1016/j.agsy.2025.104554,10.1016/j.agsy.2025.104554,A novel framework for evaluating farmer resilience: Methodological advances and theoretical foundations,2026-01-01,Agricultural Systems,10.1016/j.agsy.2025.104554,2-s2.0-105021021392,105021021392,0,https://api.elsevier.com/content/abstract/scopus_id/105021021392
"Wu Y. (2026) 'Integrating policy measures into the assessment of household livelihood resilience to climate change in the Pumqu river Basin, Tibetan plateau'. Natural Hazards. https://doi.org/10.1007/s11069-025-07848-2",10.1007/s11069-025-07848-2,"Integrating policy measures into the assessment of household livelihood resilience to climate change in the Pumqu river Basin, Tibetan plateau",2026-01-01,Natural Hazards,10.1007/s11069-025-07848-2,2-s2.0-105026058973,105026058973,0,https://api.elsevier.com/content/abstract/scopus_id/105026058973
Wang X. (2026) 'Potential impacts of climate change and fishing pressure on important cephalopods in Northwest Pacific: Applications for conservation and management of vulnerable habitats'. Journal of Environmental Management. https://doi.org/10.1016/j.jenvman.2025.128242,10.1016/j.jenvman.2025.128242,Potential impacts of climate change and fishing pressure on important cephalopods in Northwest Pacific: Applications for conservation and management of vulnerable habitats,2026-01-01,Journal of Environmental Management,10.1016/j.jenvman.2025.128242,2-s2.0-105023954387,105023954387,0,https://api.elsevier.com/content/abstract/scopus_id/105023954387
Fazli H. (2026) 'Systemic Restructuring of the Caspian Sea Benthic Ecosystem: Long-Term Impacts of Invasive Species and Environmental Drivers'. Aquatic Conservation Marine and Freshwater Ecosystems. https://doi.org/10.1002/aqc.70284,10.1002/aqc.70284,Systemic Restructuring of the Caspian Sea Benthic Ecosystem: Long-Term Impacts of Invasive Species and Environmental Drivers,2026-01-01,Aquatic Conservation Marine and Freshwater Ecosystems,10.1002/aqc.70284,2-s2.0-105026903661,105026903661,0,https://api.elsevier.com/content/abstract/scopus_id/105026903661
Arabollah Firozjah M. (2026) 'A two-stage stochastic programming model for sustainable livestock-rangeland management'. Environmental Development. https://doi.org/10.1016/j.envdev.2025.101310,10.1016/j.envdev.2025.101310,A two-stage stochastic programming model for sustainable livestock-rangeland management,2026-01-01,Environmental Development,10.1016/j.envdev.2025.101310,2-s2.0-105012591331,105012591331,2,https://api.elsevier.com/content/abstract/scopus_id/105012591331
