doi,title,domain_type,process_outcome_domains_raw
10.1016/j.envsci.2014.11.009,"Climate variability, food security and poverty: Agent-based assessment of policy options for farm households in Northern Ghana",both,decision_making_planning; institutional_governance; risk_reduction
10.1186/s40064-015-0822-0,"Exploring the climate change concerns of striped catfish producers in the Mekong Delta, Vietnam",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1080/14735903.2013.863450,Optimizing dambo (seasonal wetland) cultivation for climate change adaptation and sustainable crop production in the smallholder farming areas of Zimbabwe,both,decision_making_planning; uptake_adoption; yields_productivity; livelihoods; wellbeing
10.1016/j.agwat.2014.10.011,"Farmers' adaptation to water scarcity in drought-prone environments: A case study of Rajshahi District, Bangladesh",process_only,decision_making_planning; uptake_adoption
10.1016/j.gloenvcha.2014.11.002,Limits to adaptation to interacting global change risks among smallholder rice farmers in Northwest Costa Rica,both,decision_making_planning; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; risk_reduction
10.1016/j.ecolecon.2015.07.012,Crop choice as climate change adaptation: Evidence from Bangladesh,both,decision_making_planning; yields_productivity
10.4067/s0718-34292015000200014,"Food production agriculture and climate change: An economic analysis in the Department of Puno, Peru",both,decision_making_planning; risk_reduction
10.3390/su7021620,Responding to crop failure: Understanding farmers' coping strategies in Southern Malawi,process_only,decision_making_planning; uptake_adoption
10.4102/jamba.v7i1.144,"Adaptation to drought in arid and semi-arid environments: Case of the Zambezi Valley, Zimbabwe",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1186/s40152-014-0009-2,"How do small-scale fishers adapt to environmental variability? Lessons from Baja California, Sur, Mexico",process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1186/s13570-014-0019-0,"Livestock population dynamics and pastoral communities’ adaptation to rainfall variability in communal lands of Kgalagadi South, Botswana",process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.ijdrr.2014.09.011,"Farmers' perception of drought impacts, local adaptation and administrative mitigation measures in Maharashtra State, India",process_only,knowledge_awareness_learning; decision_making_planning
10.1186/2041-7136-4-3,How do pastoral families combine livestock herds with other livelihood security means to survive? The case of the Ferlo area in Senegal,both,decision_making_planning; behavioral_change; institutional_governance; access_information_services; livelihoods; wellbeing
10.1016/b978-0-12-800067-0.00008-6,Evaluating the Determinants of Perceived Drought Resilience: An Empirical Analysis of Farmers' Survival Capabilities in Drought-Prone Regions of South India,both,knowledge_awareness_learning; decision_making_planning; risk_reduction
10.1016/j.eap.2014.08.001,"Flood, cropping pattern choice and returns in agriculture: A study of Assam plains, India",both,decision_making_planning; yields_productivity; income_assets
10.1016/j.agee.2013.08.017,Adoption and intensity of adoption of conservation farming practices in Zambia,process_only,decision_making_planning; uptake_adoption; institutional_governance
10.1016/j.eja.2013.12.009,"Comparative assessment of maize, finger millet and sorghum for household food security in the face of increasing climatic risk",both,uptake_adoption; yields_productivity; income_assets
10.1186/2048-7010-3-3,Crop adaptation to climate change in the semi-arid zone in Tanzania: The role of genetic resources and seed systems,process_only,decision_making_planning; uptake_adoption
10.1016/j.fcr.2013.10.014,Evaluation of climate adaptation options for Sudano-Sahelian cropping systems,both,decision_making_planning; yields_productivity
10.1186/1471-2148-14-1,Modern maize varieties going local in the semi-arid zone in Tanzania,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; yields_productivity
10.1007/s10584-013-0992-0,Enabling adaptation? Lessons from the new 'Green Revolution' in Malawi and Kenya,process_only,decision_making_planning; institutional_governance
10.1590/s0103-20032014000400001,Climate change and adaptive strategies in Brazil: The economic effects of genetic breeding,both,decision_making_planning; yields_productivity; income_assets
10.1016/j.ecolecon.2014.07.025,Climate change and farm-level adaptation decisions and strategies in drought-prone and groundwater-depleted areas of Bangladesh: An empirical investigation,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1016/j.envsci.2014.04.002,"Understanding farmers' adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam",process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.3923/ajcs.2014.262.272,Impact of climate change on rice-based cropping systems and farmers' adaptation strategies in Northeast Thailand,both,decision_making_planning; uptake_adoption; risk_reduction
10.1186/2193-1801-3-154,"Agro-ecosystem and socio-economic role of homegarden agroforestry in Jabithenan District, North-Western Ethiopia: Implication for climate change adaptation",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; livelihoods; wellbeing; risk_reduction
10.1016/j.gloenvcha.2013.11.010,"Policy support, social capital, and farmers' adaptation to drought in China",process_only,decision_making_planning; institutional_governance; access_information_services
10.14350/rig.42298,"Adaptation to climate variability among the coffee farmers of the watersheds of the rivers Porce and Chinchiná, Colombia",neither,not_found
10.5751/es-06408-190206,Strengthening threatened communities through adaptation: Insights from coastal Mozambique,both,decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.jaridenv.2014.03.006,Farmers' decision-making process under drought,process_only,decision_making_planning; behavioral_change
10.3923/ajava.2014.13.26,Impacts of climate change on livestock husbandry and adaptation options in the arid sahel belt of West Africa: Evidence from a baseline survey,neither,not_found
10.1016/j.crm.2014.08.002,"Ethno-meteorology and scientific weather forecasting: Small farmers and scientists' perspectives on climate variability in the Okavango Delta, Botswana",process_only,knowledge_awareness_learning; decision_making_planning
10.1016/s2095-3119(13)60700-5,Crop diversification in coping with extreme weather events in China,neither,not_found
10.1016/j.crm.2014.05.004,Sources of vulnerability to a variable and changing climate among smallholder households in Zimbabwe: A participatory analysis,neither,not_found
10.1016/j.crm.2014.02.001,The role of climate forecasts in smallholder agriculture: Lessons from participatory research in two communities in Senegal,process_only,decision_making_planning; access_information_services
10.20965/jdr.2014.p0542,Households' coping strategies in drought- and flood-Prone communities in Northern Ghana,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance
10.1016/j.marpol.2013.06.007,Limits and barriers to adaptation to climate variability and change in Bangladeshi coastal fishing communities,neither,not_found
10.1016/j.crm.2014.04.001,"Managing the agricultural calendar as coping mechanism to climate variability: A case study of maize farming in northern Benin, West Africa",both,decision_making_planning; risk_reduction
10.1016/j.worlddev.2014.05.004,Bedouin adaptation to the last 15-years of drought (1995-2010) in the north coastal zone of Egypt: Continuity or rupture?,process_only,decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.4038/jnsfsr.v42i2.6992,Adaptation to the vulnerability of paddy cultivation to climate change based on seasonal rainfall characteristics,process_only,decision_making_planning; access_information_services
10.1186/2193-7532-1-13,"Understanding the process of adaptation to climate change by small-holder farmers: the case of east Hararghe Zone, Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.5751/es-05705-180424,The use of woodland products to cope with climate variability in communal areas in Zimbabwe,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.1016/j.fcr.2013.08.012,Managing soil fertility to adapt to rainfall variability in smallholder cropping systems in Zimbabwe,both,uptake_adoption; yields_productivity
10.17138/tgft(1)235-239,Lessons from silage adoption studies in Honduras,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.jclepro.2012.01.034,Widows: Agents of change in a climate of water uncertainty,both,decision_making_planning; participation_coproduction; access_information_services; yields_productivity; income_assets
10.1186/2041-7136-3-13,Transhumant agro-pastoralism in Bhutan: Exploring contemporary practices and socio-cultural traditions,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1016/j.gloenvcha.2013.07.017,Exploratory analyses of local institutions for climate change adaptation in the Mongolian grasslands: An agent-based modeling approach,process_only,decision_making_planning; institutional_governance
10.1016/j.agee.2013.08.019,Transitions in agro-pastoralist systems of East Africa: Impacts on food security and poverty,neither,not_found
10.1016/j.landusepol.2013.03.001,Farmers' decisions to adapt to climate change under various property rights: A case study of maize farming in northern Benin (West Africa),process_only,decision_making_planning; institutional_governance
10.2480/agrmet.69.1.2,"Rice farmers' response to climate and socio-economic impacts: A case study in North Sumatra, Indonesia",process_only,decision_making_planning; uptake_adoption
10.1016/j.gloenvcha.2013.03.002,Adaptive capacity contributing to improved agricultural productivity at the household level: Empirical findings highlighting the importance of crop insurance,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1007/s10113-012-0391-5,Buffer capacity: Capturing a dimension of resilience to climate change in African smallholder agriculture,both,uptake_adoption; yields_productivity; wellbeing; risk_reduction
10.4067/s0718-95162013005000033,Impact of salinity on livelihood strategies of farmers,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; yields_productivity; income_assets
10.1108/17568691311327596,Pastoralism and ecosystem-based adaptation in Kenyan Masailand,both,decision_making_planning; institutional_governance; access_information_services; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity
10.1016/j.techfore.2012.10.021,Testing a multi-scale scenario approach for smallholder tree plantations in Indonesia and Vietnam,process_only,decision_making_planning; institutional_governance
10.1016/j.jaridenv.2012.11.006,The role of drought among agro-pastoral communities in a semi-arid environment: The case of Botswana,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; risk_reduction
10.1016/j.worlddev.2012.08.002,The Impact of Climate Shocks on Seed Purchase Decisions in Malawi: Implications for Climate Change Adaptation,process_only,decision_making_planning; access_information_services
10.1016/j.agsy.2012.11.004,Diversification and adaptation strategies to climate variability: A farm typology for the Sahel,both,decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.envsci.2012.07.003,Assessing the adaptation strategies of farmers facing multiple stressors: Lessons from the Coffee and Global Changes project in Mesoamerica,process_only,knowledge_awareness_learning; decision_making_planning; participation_coproduction; institutional_governance
10.1371/journal.pone.0051815,Climate Change or Urbanization? Impacts on a Traditional Coffee Production System in East Africa over the Last 80 Years,both,uptake_adoption; yields_productivity; risk_reduction
10.1016/j.jenvman.2012.10.036,Adapting agriculture to climate change in Kenya: Household strategies and determinants,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.envdev.2012.11.001,Participatory action research (PAR) as an entry point for supporting climate change adaptation by smallholder farmers in Africa,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction
10.1684/sec.2013.0401,Coping with climate variability and change in research for development targeting West Africa: Need for paradigm changes,process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance; access_information_services
10.1186/2048-7010-1-15,Reducing subsistence farmers' vulnerability to climate change: Evaluating the potential contributions of agroforestry in western Kenya,both,decision_making_planning; uptake_adoption; wellbeing; risk_reduction
10.1016/j.fcr.2012.07.014,Maize-grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique,both,uptake_adoption; yields_productivity; income_assets; wellbeing; risk_reduction
10.1016/j.agsy.2012.05.003,"A method for evaluating climate change adaptation strategies for small-scale farmers using survey, experimental and modeled data",process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance
10.1007/s12571-012-0194-z,Are food insecure smallholder households making changes in their farming practices? Evidence from East Africa,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing
10.1016/j.gloenvcha.2011.11.012,Can farmers' adaptation to climate change be explained by socio-economic household-level variables?,process_only,decision_making_planning; institutional_governance; access_information_services
10.1007/978-3-642-22266-5_10,Adaptations to Climate Change and Variability Among Smallholder Farmers in Tanzania,both,decision_making_planning; uptake_adoption; livelihoods; risk_reduction
10.1016/j.ijdrr.2012.05.004,Farmer's perception and adaptation practices to cope with drought: Perspectives from Northwestern Bangladesh,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; access_information_services; yields_productivity; livelihoods
10.1016/j.ijdrr.2012.08.002,Unravelling strategic choices towards droughts and floods' adaptation in Southern Malawi,process_only,decision_making_planning; uptake_adoption
10.1016/j.agwat.2011.10.019,Role of groundwater in buffering irrigation production against climate variability at the basin scale in South-West India,both,decision_making_planning; yields_productivity
10.1080/02626667.2011.630002,"To connect or not to connect? Floods, fisheries and livelihoods in the Lower Rufiji floodplain lakes, Tanzania",both,decision_making_planning; behavioral_change; yields_productivity; income_assets
10.1016/j.ecolecon.2011.07.004,"The effect of ambiguous risk, and coordination on farmers' adaptation to climate change - A framed field experiment",process_only,decision_making_planning; behavioral_change
10.1016/j.gloenvcha.2011.07.005,Adaptation to climate change in Uganda: Evidence from micro level data,process_only,decision_making_planning; uptake_adoption
10.1016/j.pce.2011.08.012,Adaptive strategies to climate change in Southern Malawi,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.pce.2011.08.004,"Rural livelihoods and household adaptation to extreme flooding in the Okavango Delta, Botswana",both,decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; livelihoods; wellbeing; risk_reduction
