doi,field,field_type,CGS,LLM,AZ,SZC,JK,LJ,KK,CGS_vs_LLM,CGS_vs_AZ,CGS_vs_SZC,CGS_vs_JK,CGS_vs_LJ,LLM_vs_AZ,LLM_vs_SZC,LLM_vs_JK,LLM_vs_LJ,AZ_vs_SZC,AZ_vs_JK,AZ_vs_LJ,SZC_vs_JK,SZC_vs_LJ,JK_vs_LJ,CGS_vs_KK,LLM_vs_KK,AZ_vs_KK,SZC_vs_KK,JK_vs_KK,LJ_vs_KK
10.1016/j.crm.2017.06.001,process_outcome_domains,multivalue,resilience_adaptive_capacity; knowledge_awareness_learning' decision_making_planning; participation_coproduction; institutional_governance;access_information_services,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,resilience_adaptive_capacity; access_information_services,livelihoods;resilience_adaptive_capacity,knowledge_awareness_learning; institutional_governance; access_information_services; income_assets; livelihoods,,,partial,partial,partial,partial,no,partial,partial,partial,no,partial,partial,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.06.001,data_sources,multivalue,surveys; secondary_data; semi structured interviews; primary_data,surveys; participatory_methods,surveys; participatory_methods,surveys;secondary_data,surveys; participatory_methods; secondary_data,,,partial,partial,partial,partial,no,yes,partial,partial,no,partial,partial,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.06.001,country_region,freetext,Ghana,Ghana,Ghana,"Ghana; Northern Region, West Mamprusi",Ghana,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.06.001,adaptation_focus,freetext,climate information and advisory services; financial strategies; crop varieties and genetics; soil and land management; water management and irrigation; ,adaptive capacity of smallholder farmers to climate change,characterizing adaptive capacity and institutional determinants,Adaptation of climate variation through adaptive capacity of small holder farmers,"""This paper recommends resilience building interventions in the study area that target individuals with low adaptive capacities, especially women and farmers without formal education.""",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.06.001,indicators_measured,freetext,Smallholder Farmers’ Adaptive Capacity Index (SFACI),"economic resources, social capital, awareness and training, technology, infrastructure and institutions",social capital (index); economic resources (index); awareness (index),"Economic, Social and Institutional factors","Diversity of source of income; Remittance; Access to credit; Access to family/household
labour; Participation in farmer-based organisations; Participation in GBO; Participation in RBO; Participation in other organisation; Acceptance of climate change; Level of literacy; Access to climate information; Farming experience; Access to extension service; Knowledge of seed varieties; Knowledge of soil moisture retention techniques; Knowledge of soil fertility retention techniques; Land holding size; Irrigation infrastructure; Access to roads; Land tenure arrangement; Government subsidy; Disaster relief assistance",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.06.001,strengths_and_limitations,freetext,Strength:<none reported>; limitations <a deductive and expert driven approach does not include the perspectives of the community members on their own adaptive capacity; indicators provide only an indication for a certain state of a system and do not shed light on how to explain the results>,Strength: Provides a comprehensive framework for assessing adaptive capacity of smallholder farmers. Limitation: Limited to two agrarian communities in the Northern Region of Ghana.,Strength: Comprehensive framework. Limitation: Cross-sectional.,Strong but localized,"Strengths: ""The study operationalized the indicators in a standardized survey questionnaire and tested it in two agrarian communities in the Northern Region of Ghana. The survey results show the aggregate adaptive capacity of respondents is low. However, disparities in adaptive capacity were recorded among respondents in terms of gender and education.
Differentiating between the determinants women farmer show significantly lower capacities in fields of economic resources, technology and knowledge and awareness."" ; Limitations: The assessment is limited by its top-down, expert-driven approach, excluding community perspectives, relying on only two case study communities, and lacking qualitative or participatory validation of indicators and weightings.",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.06.001,lessons_learned,freetext,,"Resilience building interventions should target individuals with low adaptive capacities, especially women and farmers without formal education.",Social capital is a critical determinant of capacity.,"Through education and awareness with gender disparity, adaptive capacity can be driven.","""To further improve the knowledge basis of how supportive instruments effect the adaptive capacity of smallholder farmers we propose, secondly, to conduct further research based on a mixed-methods approach including qualitative methods. This would help to further investigate the explaining factors for the revealed gender and educational biases.""",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.03.001,publication_year,categorical,2017,2017,2017,2017,2017,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,publication_type,categorical,journal_article,journal_article,journal_article,journal_article,journal_article,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,geographic_scale,categorical,multi-country,multi-country,multi-country,regional,local,,,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,producer_type,categorical,undefined,undefined,undefined,crop,mixed,,,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,temporal_coverage,categorical,cross_sectional,cross_sectional,longitudinal,cross_sectional,cross_sectional,,,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,cost_data_reported,categorical,No,no,no,no,no,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,purpose_of_assessment,categorical,research,research,research,research,project_learning,,,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.03.001,marginalized_subpopulations,multivalue,none_reported,none_reported,none_reported,none_reported,none_reported,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.03.001,methodological_approach,multivalue,quantitative,quantitative,quantitative,quantitative,quantitative,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.03.001,process_outcome_domains,multivalue,uptake_adoption; decision_making_planning,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,livelihoods; resilience_adaptive_capacity,behavioral_change;livelihoods;risk_reduction,behavioral_change,,,partial,no,no,no,no,partial,partial,partial,no,partial,no,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.03.001,data_sources,multivalue,surveys,surveys,surveys,surveys;secondary_data,participatory_methods,,,yes,yes,partial,no,no,yes,partial,no,no,partial,no,no,no,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.03.001,country_region,freetext,East Africa,Ethiopia; Kenya; Uganda; Tanzania,Ethiopia; Kenya; Uganda; Tanzania,East Africa; Kenya; Uganda; Tanzania; Ethiopia,"East Africa: Nyando, Kenya; Hoima, Uganda; Lushoto, Tanzania; and Borana, Ethiopia",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.03.001,adaptation_focus,freetext,Crop varieties and genetics; Crop management practices; Soil and land management; Water management and irrigation; Agroforestry,farmers' attitudes and determinants of adaptation to climate risks,determinants of adaptation to climate risks among smallholders,Farm level adaptation to climate risk,"The paper ""examined farmers’ attitudes and assessed determinants of adaptation using data from a random sample of 500 households. Adaptation was measured using a livelihood-based index that assigned weights to different individual strategies based on their marginal contributions to a household’s livelihood"".",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.03.001,indicators_measured,freetext,Overall Livelihood-Based Adaptation Index (LAI),"adaptation index, household size, sex of the household head, number of months of food shortage, farmer group membership, access to credit",livelihood-based adaptation index (unitless); credit access (binary); group membership (binary),"Household, climate, institutional, food security, income and adaptation process indicators","Adaptation index 
Short cycle varieties 
DT varieties 
Irrigation 
Early planting
Manure/compost 
Terracing 
Tree planting 
Crop rotation 
Pest-resistant variety 
Reduce cultivated area
Intercropping 
Mulching 
Household head is male 
Highest level of education is primary 
HH size 
Number of dependents in HH 
Farming experience relative to age of HHH 
Farm size
Owns large animal (e.g. cows) 
Assets index
Number of months of food shortage
Access to credit
Group membership 
Access to extension services
Number of observations",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.03.001,strengths_and_limitations,freetext,"Strength: <novel approach to generating weights required in constructing aggregate adaptation indices;  method of calculating the adaptation index provides a more objective way of generating weights for adaptation strategies compared to previous approaches>; Limitations: <data on a few control variables including age and sex of the household head, distance to markets, and contact with extension agents were missing from the baseline survey""
. To correct this, they used a follow-up survey, but noted that ""it was, however, not possible to reach every household that was in the baseline because some had migrated,"" which reduced their sample size.",Strength: Provided insights into farmers' attitudes and determinants of adaptation to climate risks. Limitation: Limited focus on specific adaptation strategies and their cost implications.,Strength: not reported. Limitation: Self-reported data.,Multi method is strong but it is limited due to missing longitudinal data,"Strength: ""Our findings have several important policy implications. The findings imply that providing climate information to inform timely planting, promoting crop diversification, and encouraging adoption of adapted varieties of crops might be successful to enhancing resilience of farming systems in the short-term."" ; Limitation: N/A",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.03.001,lessons_learned,freetext,"<recommend coupling their socioeconomic survey data with biophysical datasets, including plot-level characteristics, to better capture and understand differences across the various study sites
>","Providing climate information, promoting crop diversification, and encouraging adoption of adapted varieties can enhance short-term resilience. Long-term investment in reducing hunger, group formation, and easing liquidity constraints is needed for long-term adaptation.",Credit and group membership drive adaptation; information asymmetry should be addressed.,"Adaptation is driven by factors like household, institutional, and climate factors","""Long-term adaptive transformation will, however, require increased investment in human, social, and physical capital to promote adoption of soil, water, and land management practices. For future research we recommend coupling these data and results with biophysical data sets including plot level characteristics in order to fully capture cross-site differences.""",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1007/s10584-016-1792-0,publication_year,categorical,2017,2017,2017,2017,2017,2016,2017.0,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
10.1007/s10584-016-1792-0,publication_type,categorical,journal_article,journal_article,journal_article,journal_article,journal_article,journal_article,journal_article,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
10.1007/s10584-016-1792-0,geographic_scale,categorical,multi-country,multi-country,multi-country,multi-country,sub-national,local,multi-country,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no
10.1007/s10584-016-1792-0,producer_type,categorical,crop,undefined,undefined,crop,crop,crop,crop,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes
10.1007/s10584-016-1792-0,temporal_coverage,categorical,cross_sectional,longitudinal,repeated_cross_sectional,cross_sectional,repeated_cross_sectional,cross_sectional,cross_sectional,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,yes
10.1007/s10584-016-1792-0,cost_data_reported,categorical,No,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
10.1007/s10584-016-1792-0,purpose_of_assessment,categorical,research,research,research,research,research,research,research,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
10.1007/s10584-016-1792-0,marginalized_subpopulations,multivalue,Women,none_reported,other,none_reported,none_reported,women; youth,none_reported,no,no,no,no,partial,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no
10.1007/s10584-016-1792-0,methodological_approach,multivalue,quantitative,quantitative,quantitative,modeling_with_empirical_validation;quantitative,quantitative; modeling_with_empirical_validation,quantitative; participatory; modeling_with_empirical_validation,quantitative; modeling_with_empirical_validation,yes,yes,partial,partial,partial,yes,partial,partial,partial,partial,partial,partial,yes,partial,partial,partial,partial,partial,yes,yes,partial
10.1007/s10584-016-1792-0,process_outcome_domains,multivalue,Vulnerability,knowledge_awareness_learning; decision_making_planning; institutional_governance; risk_reduction,resilience_adaptive_capacity,decision_making_planning;institutional_governance;resilience_adaptive_capacity;risk_reduction,knowledge_awareness_learning; access_information_services; wellbeing,knowledge_awareness_learning; participation_coproduction; institutional_governance; access_information_services; livelihoods; wellbeing; resilience_adaptive_capacity,access_information_services; livelihoods; resilience_adaptive_capacity,no,no,no,no,no,no,partial,partial,partial,partial,no,partial,no,partial,partial,no,no,partial,partial,partial,partial
10.1007/s10584-016-1792-0,data_sources,multivalue,surveys; secondary data,administrative_data; secondary_data,secondary_data,secondary_data,administrative_data; remote_sensing; secondary_data,surveys; participatory_methods; secondary_data,administrative_data; secondary_data; other,no,no,no,no,partial,partial,partial,partial,partial,yes,partial,partial,partial,partial,partial,no,partial,partial,partial,partial,partial
10.1007/s10584-016-1792-0,country_region,freetext,Central America,Guatemala; El Salvador; Honduras; Nicaragua,Guatemala; El Salvador; Honduras; Nicaragua,Guatemala; El Salvador; Honduras; Nicaragua,"Guatemala, El Salvador, Honduras and Nicaragua",Central America; Guatemala; El Salvador; Honduras; Nicaragua,Guatemala; El Salvador; Honduras; Nicaragua,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1007/s10584-016-1792-0,adaptation_focus,freetext,"Crop management practices; Crop varieties and genetics; Soil and land management; agroforestry; water management and irrigation; livelihood diversification; migration and mobility; financial strategies, climate information and advisory services",climate change vulnerability assessment for smallholder agricultural livelihoods,adaptive capacity and vulnerability mapping for prioritization,Climate adaptation planning for smallholders connected with crop occupation,"""Municipalities with a high proportional area under subsistence crops tend to have less resources to promote innovation and action for adaptation."" ","safe water access; strenghtening public health;  resilient infrastructures (housing, roads); land tenure; education and technical assistance; livelihood diversification; financial strategies: credit access; gender equity and social inclusion",spatial prioritization of adaptation strategies for crop livelihoods,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1007/s10584-016-1792-0,indicators_measured,freetext,"Adaptive Capacity Index (ACI) Indicators; Satisfaction of basic needs (Health, wellbeing, and equity); Resources for innovation (Access to extension, land, and infrastructure); Resources for action (Financial strategies and livelihood diversification)","proportional area under subsistence crops, adaptive capacity index (ACI)",Adaptive Capacity Index (ACI); crop suitability (rank),"crop suitability change (%), adaptive capacity index, vulnerability index, safe drinking water access (%), school attendance (%), housing quality (%), road density, loan access (%), technical assistance (%)"," Rural households with access to safe drinking water,  Primary healthcare units per 1000 people,  Rural school-aged population (aged 7–17) that attends school, Rural dwellings built with long-lasting materials, Rural gender parity index, Entitled agricultural production units,  Agricultural production units that received technical assistance, Roads density, Rural economically active population employed in non-agricultural activities, Agricultural production units that received a loan, Rural demographic dependency ratio ",Rural households with access to safe drinking water; Primary healthcare units (per 1000 people); Rural school-aged population (aged 7-17) that attends school; Rural dwellings built with long-lasting materials; Rural gender parity index; Entitled agricultural production units; Agricultural production units that received technical assistances; Roads density; Rural economically active population employed in non-agricultural activities; Agricultural production units that received a loan; Rural demographic dependency ratio,"Weighted Average Suitability Change (WASC); Adaptive Capacity Index (ACI); Vulnerability Index (VI); crop suitability change for coffee, maize, beans, upland rice, sorghum, plantain, cassava; rural households with safe drinking water; primary healthcare units per 1000 people; rural school-aged population attending school; rural dwellings built with long-lasting materials; rural gender parity index; entitled agricultural production units; agricultural production units receiving technical assistance; road density; rural economically active population in non-agricultural employment; agricultural production units receiving a loan; rural demographic dependency ratio; crop area proportions.",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1007/s10584-016-1792-0,strengths_and_limitations,freetext,"Strength: <regional scope and shows cluster-specific attributes that could define entry points for adaptation planning; pproach can be applied in other countries or regions to identify spatial priorities for adaptation using widely-available data> Limitations: <firstly, the estimation of PI in terms of changes in crop productivity related to climate variability... not just climatic suitability; secondly, the inclusion of social, cultural and natural assets in the characterization of the AC, and finally, a focus on agricultural landscapes rather than administrative divisions like municipalities""
. They also point out that ""we suggest that our results should be validated using local scale case studies""
 and highlight that research priorities to improve these assessments include the ""integration of climate variability and non-climatic stresses and their interaction with climate change variables>",Strength: Provides a comprehensive assessment of climate change vulnerability at the municipality level. Limitation: Focuses on selected crops and does not cover all smallholder agricultural livelihoods.,Strength: Policy-scale mapping. Limitation: Data resolution.,(Strength) utilises different countries for assessment of municipal level weaknesses. (Limitation) Depends on proxy measures and secondary data; local validity not confirmed.,"Strength: ""Our study provides insights to guide adaptation implementation in four vulnerable Central American countries. We show, for example, that municipality clusters with lower basic needs satisfaction tend to underperform on indicators for innovation and action, suggesting adaptation actions focused on basic needs should receive high priority"" ; Limitation: "" Our approach has regional scope and shows cluster-specific
attributes that could define entry points for adaptation planning. However, we suggest that our results should be validated using local scale case studies (e.g. Sietz et al. 2011).""","Strenghts: ""Our approach can be applied in other countries or regions to identify spatial priorities for adaptation using widely-available data, though we suggest refinement of some aspects"". Limitations: The study relies on several model assumptions.","Strength: Regional municipality-level assessment integrates crop suitability modelling with socioeconomic adaptive-capacity indicators, and combines ranking with cluster analysis to support spatial prioritization and strategy identification. Limitation: Authors state that improvement is needed by estimating potential impact through crop productivity and climate variability rather than only climatic suitability; including social, cultural and political capitals; validating adaptive-capacity patterns with local case studies/outcome indicators; and focusing on agricultural landscapes rather than administrative municipalities.",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1007/s10584-016-1792-0,lessons_learned,freetext,"<Validate regional findings with local scale case studies> ; <Refine vulnerability assessments by integrating climate variability and non-climatic stresses, assessing actual changes in crop productivity rather than just climatic suitability, and evaluating agricultural landscapes rather than political administrative divisions >; <Integrate indicators of social, cultural, and political capital into the characterization of adaptive capacity>",not_reported,Ranking and characterization are complementary for policy.,Cluster analysis highlights that different countries have different needs; priority ranks highlight which parts need what sort of help.,"""Municipalities with a high proportional area under subsistence crops tend to have less
resources to promote innovation and action for adaptation. Our results suggest that a full
spectrum of adaptation levels and strategies must be considered in the region to achieve different adaptation goals. They also show that the adaptive capacity ranking and characterization are complementary and support geographical prioritization and identification of adaptation strategies, respectively.""","Novel insights: ""Our results suggest that a full spectrum of adaptation levels and strategies must be considered in the region to achieve different adaptation goals. They also show that the adaptive capacity ranking and characterization are complementary and support geographical prioritization and identification of adaptation strategies, respectively.""","Adaptation planning should use the full spectrum of incremental to transformational strategies, with basic-needs satisfaction prioritized where adaptive capacity is low. Ranking is useful for geographic prioritization, while clustering helps define tailored strategies for groups of municipalities. Future regional CCVAs should integrate climate variability, non-climatic stresses, additional social/cultural/political assets, and local validation.",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1080/17565529.2017.1411240,publication_year,categorical,2018,2018,2018,2018,2018,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1080/17565529.2017.1411240,publication_type,categorical,journal_article,journal_article,journal_article,journal_article,journal_article,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1080/17565529.2017.1411240,geographic_scale,categorical,sub-national,sub-national,local,local,sub-national,,,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes
10.1080/17565529.2017.1411240,producer_type,categorical,crop; livestock; mixed,undefined,undefined,crop,mixed,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
