doi,field,field_type,CGS,AZ,LLM,CGS_vs_LLM,AZ_vs_LLM,CGS_vs_AZ
10.1007/s10584-016-1792-0,lessons_learned,freetext,"<Validate regional findings with local scale case studies> ; <Refine vulnerability assessments by integrating climate variability and non-climatic stresses, assessing actual changes in crop productivity rather than just climatic suitability, and evaluating agricultural landscapes rather than political administrative divisions >; <Integrate indicators of social, cultural, and political capital into the characterization of adaptive capacity>",Ranking and characterization are complementary for policy.,not_reported,—,—,—
10.1080/17565529.2017.1411240,publication_year,categorical,2018,2018,2018,yes,yes,yes
10.1080/17565529.2017.1411240,publication_type,categorical,journal_article,journal_article,journal_article,yes,yes,yes
10.1080/17565529.2017.1411240,geographic_scale,categorical,sub-national,local,sub-national,yes,no,no
10.1080/17565529.2017.1411240,producer_type,categorical,crop; livestock; mixed,undefined,undefined,no,yes,no
10.1080/17565529.2017.1411240,temporal_coverage,categorical,cross_sectional,cross_sectional,cross_sectional,yes,yes,yes
10.1080/17565529.2017.1411240,cost_data_reported,categorical,No,no,no,yes,yes,yes
10.1080/17565529.2017.1411240,purpose_of_assessment,categorical,research,research,research,yes,yes,yes
10.1080/17565529.2017.1411240,marginalized_subpopulations,multivalue,none_reported,none_reported,none_reported,yes,yes,yes
10.1080/17565529.2017.1411240,methodological_approach,multivalue,qualitative; quantitative,quantitative; qualitative,qualitative; quantitative,yes,yes,yes
10.1080/17565529.2017.1411240,process_outcome_domains,multivalue,"Awareness of climate change; knowledge of options; learning outcomes; Rates of adoption of a practice or technology; Changes in farming or land management behaviour; Reduced exposure or sensitivity to climate shocks; Farmer decision-making; Participation in programmes, co-design, farmer group engagement; Access to extension, credit, markets, climate information",decision_making_planning; resilience_adaptive_capacity,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,no,partial,no
10.1080/17565529.2017.1411240,data_sources,multivalue,surveys; secondary data,surveys; participatory_methods,surveys; participatory_methods,partial,yes,partial
10.1080/17565529.2017.1411240,country_region,freetext,Vietnam,Vietnam,Vietnam,—,—,—
10.1080/17565529.2017.1411240,adaptation_focus,freetext,Crop management practices; Crop varieties and genetics; Livestock management; Water management and irrigation; Livelihood diversification; Climate information and advisory services,capacity to respond to climate change and psychological factors,"adjusting the season calendar, using tolerant varieties and breeds, applying integrated crop production models, income diversification",—,—,—
10.1080/17565529.2017.1411240,indicators_measured,freetext,Adoption rate; Income; Information access; Labor; Land; Climate impact severity,perceived risk (scale); self-efficacy (scale); adaptation efficacy (scale),"farm income, number of available information sources, number of workers on the farm, farmable land during summer season",—,—,—
10.1080/17565529.2017.1411240,strengths_and_limitations,freetext,"Strength: <none mentioned>; Limitations: <The low variance of the variables included in this study may indicate that other variables, not included, could be important in explaining the diversification of adaptation in agriculture to climate change>",Strength: Psychological focus. Limitation: Single community.,Strength: The study provides insights into the adaptive capacity of smallholder farmers in a specific region. Limitation: The cross-sectional nature limits understanding long-term impacts.,—,—,—
10.1080/17565529.2017.1411240,lessons_learned,freetext,"<Planned adaptation efforts should be combined with the autonomous adaptation measures farmers are already implementing, and these strategies should be co-created and integrated into state development planning and local or district policies; To ensure the success of agricultural adaptation strategies, policymakers must make farmers' personal motivations and socioeconomic conditions their primary consideration rather than ignoring them; The government needs to invest in agricultural research and development, disseminate appropriate and affordable technologies to smallholder farmers, and actively promote market development; Providing tailor-made training courses and facilitating communication between peers, neighbors, and cooperatives is recommended to foster continuous social learning, which will likely improve overall adaptive capacity and resilience>",Perceived barriers significantly hinder adaptation intent.,Understanding local perceptions and barriers to adaptation is crucial for developing effective climate change adaptation strategies.,—,—,—
